name,trade_date,open,high,low,close,volume,CCI,MACD,RSI
HBEA,2014-04-28,24.43,24.43,24.43,24.43,57357,0,0,0
HBEA,2014-04-29,24.41,24.41,24.41,24.41,62994,0,-0.0026,0
HBEA,2014-04-30,24.38,24.38,24.38,24.38,83552,0,-0.0078,0
HBEA,2014-05-05,24.11,24.11,24.11,24.11,50770,0,-0.0452,0
HBEA,2014-05-06,24.1,24.1,24.1,24.1,42494,0,-0.0674,0
HBEA,2014-05-07,23.85,23.85,23.85,23.85,43426,0,-0.1094,0
HBEA,2014-05-08,23.73,23.73,23.73,23.73,45483,0,-0.1448,0
HBEA,2014-05-09,23.71,23.71,23.71,23.71,38590,0,-0.161,0
HBEA,2014-05-12,23.57,23.57,23.57,23.57,35890,0,-0.1794,0
HBEA,2014-05-13,23.67,23.67,23.67,23.67,70038,0,-0.1672,12.24
HBEA,2014-05-14,23.82,23.82,23.82,23.82,75370,0,-0.1296,26.89
HBEA,2014-05-15,24.3,24.3,24.3,24.3,46567,0,-0.0356,53.81
HBEA,2014-05-16,23.82,23.82,23.82,23.82,41991,0,-0.0337,38.39
HBEA,2014-05-19,23.88,23.88,23.88,23.88,45736,-26.68,-0.0207,40.71
HBEA,2014-05-20,23.95,23.95,23.95,23.95,36258,0,0.0001,43.41
HBEA,2014-05-21,23.83,23.83,23.83,23.83,49062,-28.27,0.0003,40
HBEA,2014-05-22,24.17,24.17,24.17,24.17,39071,111,0.0463,51.74
HBEA,2014-05-23,23.93,23.93,23.93,23.93,43977,21.98,0.0445,44.96
HBEA,2014-05-26,24.1,24.1,24.1,24.1,53045,97.79,0.065,50.02
HBEA,2014-05-27,23.88,23.88,23.88,23.88,42235,-1.29,0.0486,44.28
HBEA,2014-05-28,23.94,23.94,23.94,23.94,39347,19.61,0.0454,46.12
HBEA,2014-05-29,24.23,24.23,24.23,24.23,49285,127.47,0.08,54.11
HBEA,2014-05-30,23.9,23.9,23.9,23.9,42430,-28.3,0.0572,45.7
HBEA,2014-06-03,23.93,23.93,23.93,23.93,38890,-24.68,0.0453,46.52
HBEA,2014-06-04,24,24,24,24,40311,5.49,0.046,48.51
HBEA,2014-06-05,23.88,23.88,23.88,23.88,37699,-56.57,0.0301,45.35
HBEA,2014-06-06,23.81,23.81,23.81,23.81,46743,-105.1,0.011,43.55
HBEA,2014-06-09,23.83,23.83,23.83,23.83,40005,-86.64,0.0023,44.24
HBEA,2014-06-10,23.59,23.59,23.59,23.59,51044,-200.84,-0.0326,38.13
HBEA,2014-06-11,23.68,23.68,23.68,23.68,69436,-129.09,-0.0398,41.44
HBEA,2014-06-12,23.47,23.47,23.47,23.47,42191,-192.81,-0.0676,36.47
HBEA,2014-06-13,22.24,22.24,22.24,22.24,42435,-349.5,-0.2368,20.66
HBEA,2014-06-16,23.32,23.32,23.32,23.32,42312,-80.4,-0.1904,43.94
HBEA,2014-06-17,22.85,22.85,22.85,22.85,55305,-136.69,-0.2087,38.57
HBEA,2014-06-18,22.84,22.84,22.84,22.84,43208,-109.6,-0.2074,38.46
HBEA,2014-06-19,22.96,22.96,22.96,22.96,49128,-75.22,-0.1769,40.66
