name,trade_date,open,high,low,close,volume,OpenInterest,CCI,MACD,RSI
Brent oil,2015/1/2,58.91,59.41,56.29,57.45,79883,281351,-48.36449995,-4.719802513,26.30901684
Brent oil,2015/1/5,57.08,57.12,53.65,54.15,189091,285633,-64.59102872,-4.898699661,22.167927
Brent oil,2015/1/6,54.23,54.65,51.55,52,244287,296526,-75.60090952,-5.154545579,19.96322481
Brent oil,2015/1/7,52.13,52.8,50.66,52.09,250471,322074,-75.00477517,-5.289073913,20.32046505
Brent oil,2015/1/8,52.08,52.93,50.9,52.12,220316,340633,-66.40163191,-5.331806096,20.44792852
Brent oil,2015/1/9,52.36,52.51,50.1,51.28,300479,350481,-65.69806381,-5.37153295,19.50696798
Brent oil,2015/1/12,51.09,51.12,48.44,48.46,291126,350283,-74.64864889,-5.566401193,16.72450239
Brent oil,2015/1/13,48.3,48.5,46.4,48,400976,365897,-81.3915861,-5.692336127,16.31567638
Brent oil,2015/1/14,48,50.37,46.78,49.73,411296,381649,-64.71482028,-5.588127473,23.8544831
Brent oil,2015/1/15,49.6,52.42,48.07,48.36,448066,386587,-55.07363063,-5.552087901,22.15255405
Brent oil,2015/1/16,48.25,50.41,48.07,49.9,293492,381397,-52.76889181,-5.337731109,28.34159577
Brent oil,2015/1/19,50.1,50.35,48.68,48.85,106771,377744,-51.44448443,-5.192719593,26.77838791
Brent oil,2015/1/20,48.91,49.48,47.78,48.17,259584,376797,-54.52256612,-5.074175304,25.78644165
Brent oil,2015/1/21,48.29,49.59,48.21,48.75,268649,378610,-46.41620866,-4.877205559,28.22851885
Brent oil,2015/1/22,48.6,50.45,48.02,49,321470,374802,-38.38770321,-4.647360823,29.30831352
Brent oil,2015/1/23,49.11,49.8,48.55,48.55,245343,365874,-35.03701495,-4.450219098,28.4777885
Brent oil,2015/1/26,48.56,49.29,47.57,48.11,241380,358072,-35.50724358,-4.280148298,27.6526562
Brent oil,2015/1/27,48.25,49.99,47.67,49.26,249568,345625,-23.45363286,-4.006387434,33.10799107
Brent oil,2015/1/28,49.1,49.72,48.29,48.65,275153,340113,-19.93533213,-3.794906559,31.74078745
Brent oil,2015/1/29,48.69,49.25,48.37,49.05,236631,322184,-15.61389852,-3.554060784,33.67494924
Brent oil,2015/1/30,49.15,53.08,48.76,52.95,335018,306467,19.15248963,-3.013750723,48.88334083
Brent oil,2015/2/2,52.68,55.62,51.41,54.85,402067,283803,48.97358338,-2.404519186,54.37250251
Brent oil,2015/2/3,55,59,54.84,57,414587,252195,84.17628869,-1.728289131,59.65245718
Brent oil,2015/2/4,59.1,59.11,54.54,55.47,224731,311772,76.36934493,-1.300834938,54.79322078
Brent oil,2015/2/5,55.85,58.78,54.06,57.87,236907,323533,81.22669499,-0.759657607,60.26155503
Brent oil,2015/2/6,57.67,59.9,57.67,59.09,190948,339219,101.7867682,-0.229679271,62.72957732
Brent oil,2015/2/9,58.5,60.59,58.25,58.83,204354,333617,100.8856523,0.167422609,61.84799667
Brent oil,2015/2/10,58.87,59.62,57.19,57.97,231892,327089,84.30837124,0.408030376,58.89943252
Brent oil,2015/2/11,58.15,58.15,55.16,56.3,291699,329762,58.05145068,0.458671443,53.55962977
