name,trade_date,close,VMF1,VMF2,VMF3,VMF4,VMF5,VMF6,VMF7,VMF8,VMF9,CCI,MACD,RSI,volume,OpenInterest
Brent oil,2015-01-02,57.45,3.08498152,2.404920225,1.082814213,0.171017025,-0.489264494,-1.806239311,-6.370452165,5.962624,48.74576478,-48.36449995,-4.719802513,26.30901684,79883,281351
Brent oil,2015-01-05,54.15,-2.557524352,-0.246822794,2.41691859,2.910061201,2.463261353,-1.242102656,-6.284095727,6.022777918,48.80334613,-64.59102872,-4.898699661,22.167927,189091,285633
Brent oil,2015-01-06,52,1.841487221,-1.872104814,-2.666844563,-0.290110516,1.745519646,-0.528368329,-6.198066257,6.069437194,48.84672876,-75.60090952,-5.154545579,19.96322481,244287,296526
Brent oil,2015-01-07,52.09,-1.007447457,2.864125724,-0.357072372,-2.630270798,-1.306423244,0.210717971,-6.118834985,6.098016609,48.87162065,-75.00477517,-5.289073913,20.32046505,250471,322074
Brent oil,2015-01-08,52.12,0.180976107,-2.25857078,2.721018323,0.430676557,-2.225655741,0.860033553,-6.052615776,6.103245632,48.87287806,-66.40163191,-5.331806096,20.44792852,220316,340633
Brent oil,2015-01-09,51.28,0.586399367,0.55660359,-1.508002742,2.427585101,0.083354345,1.352862395,-5.987750318,6.096084265,48.86129116,-65.69806381,-5.37153295,19.50696798,300479,350481
Brent oil,2015-01-12,48.46,-1.222318807,1.253688932,-1.459806525,-0.514833839,2.067720168,1.658432443,-5.906942185,6.09242607,48.8524568,-74.64864889,-5.566401193,16.72450239,291126,350283
Brent oil,2015-01-13,48,1.66605062,-2.239582162,2.326318917,-2.236535921,0.934875803,1.761053467,-5.800738457,6.10070188,48.8545758,-81.3915861,-5.692336127,16.31567638,400976,365897
Brent oil,2015-01-14,49.73,-1.914306079,1.951859328,-0.267731842,0.539286257,-1.448958632,1.654985549,-5.668257828,6.121631252,48.86828631,-64.71482028,-5.588127473,23.8544831,411296,381649
Brent oil,2015-01-15,48.36,1.959241073,-0.69590626,-1.897986569,2.014437859,-1.591207803,1.345210341,-5.517842666,6.147390608,48.88579674,-55.07363063,-5.552087901,22.15255405,448066,386587
Brent oil,2015-01-16,49.9,-1.825165841,-0.756082297,1.512539211,-0.543808174,0.544847092,0.872919543,-5.347303354,6.180533831,48.90964992,-52.76889181,-5.337731109,28.34159577,293492,381397
Brent oil,2015-01-19,48.85,1.547173619,1.616089644,0.652260804,-1.805828718,1.727268826,0.292652718,-5.160076541,6.218114639,48.93690043,-51.44448443,-5.192719593,26.77838791,106771,377744
Brent oil,2015-01-20,48.17,-1.186000103,-1.527055888,-1.7535804,0.529893744,0.356889427,-0.311796599,-4.944532054,6.272040315,48.97940204,-54.52256612,-5.074175304,25.78644165,259584,376797
Brent oil,2015-01-21,48.75,0.778146144,0.646070412,0.552780068,1.548519409,-1.44736715,-0.892255858,-4.718699364,6.325720749,49.02071772,-46.41620866,-4.877205559,28.22851885,268649,378610
Brent oil,2015-01-22,49,-0.362800622,0.464373043,1.183994896,-0.468115898,-1.032840015,-1.3701029,-4.47314599,6.389294457,49.0709885,-38.38770321,-4.647360823,29.30831352,321470,374802
Brent oil,2015-01-23,48.55,-0.039821205,-1.203737496,-1.252003231,-1.331061842,0.826888623,-1.700175421,-4.216171219,6.455777799,49.12333945,-35.03701495,-4.450219098,28.4777885,245343,365874
Brent oil,2015-01-26,48.11,0.414082306,1.236535557,-0.220536223,0.387371156,1.343188919,-1.851330258,-3.955196449,6.518928388,49.17160417,-35.50724358,-4.280148298,27.6526562,241380,358072
Brent oil,2015-01-27,49.26,-0.739190657,-0.618018896,1.24565019,1.163891852,-0.067102224,-1.776287039,-3.669572649,6.599535182,49.23644362,-23.45363286,-4.006387434,33.10799107,249568,345625
Brent oil,2015-01-28,48.65,0.964415716,-0.303746942,-0.680088827,-0.35430083,-1.28719985,-1.493070234,-3.367387866,6.690953826,49.31132083,-19.93533213,-3.794906559,31.74078745,275153,340113
Brent oil,2015-01-29,49.05,-1.079577502,1.0006365,-0.620202102,-1.030954968,-0.637791339,-1.048115268,-3.057037741,6.786677339,49.38990889,-15.61389852,-3.554060784,33.67494924,236631,322184
Brent oil,2015-01-30,52.95,1.082227054,-1.101039515,1.033629024,0.31227286,0.850868809,-0.497620628,-2.740402691,6.886498963,49.47213405,19.15248963,-3.013750723,48.88334083,335018,306467
Brent oil,2015-02-02,54.85,-0.989621581,0.578204309,-0.198191848,0.902110578,1.05947533,0.097098753,-2.414230617,6.995262058,49.5629527,48.97358338,-2.404519186,54.37250251,402067,283803
Brent oil,2015-02-03,57,0.80608021,0.214373858,-0.776887182,-0.290848965,-0.237219235,0.654814074,-2.086880055,7.106841445,49.65647143,84.17628869,-1.728289131,59.65245718,414587,252195
Brent oil,2015-02-04,55.47,-0.551324225,-0.809994954,0.738913979,-0.788621235,-1.138925906,1.095745883,-1.770930141,7.211088282,49.7428131,76.36934493,-1.300834938,54.79322078,224731,311772
Brent oil,2015-02-05,57.87,0.27161517,0.919312939,0.175471914,0.290727572,-0.363929948,1.374561892,-1.467648499,7.308445606,49.82256577,81.22669499,-0.759657607,60.26155503,236907,323533
Brent oil,2015-02-06,59.09,0.003274376,-0.520766827,-0.773165722,0.700396661,0.922739171,1.479076406,-1.171445398,7.405700181,49.90257586,101.7867682,-0.229679271,62.72957732,190948,339219
Brent oil,2015-02-09,58.83,-0.246161509,-0.130214265,0.376545304,-0.293733883,0.825093347,1.405810962,-0.887996617,7.498654603,49.97877021,100.8856523,0.167422609,61.84799667,204354,333617
Brent oil,2015-02-10,57.97,0.442245845,0.667430275,0.425813897,-0.600176588,-0.463561014,1.181480021,-0.615855763,7.589925443,50.05384289,84.30837124,0.408030376,58.89943252,231892,327089
Brent oil,2015-02-11,56.3,-0.581520276,-0.807973015,-0.6223801,0.288631927,-1.030670411,0.848889036,-0.353463106,7.682211491,50.13057604,58.05145068,0.458671443,53.55962977,291699,329762
