,0
0,126432.58039959597
1,125079.18536432958
2,125323.20290043922
3,125912.60178201624
4,123189.71021535831
5,122616.812232904
6,123161.0653162356
7,123619.38370219903
8,122502.23263641314
9,122645.45713202673
10,121700.17546097712
11,122931.90612325387
12,115341.0078557344
13,114756.43897415738
14,114580.5645794211
15,116843.51161011559
16,116041.45443467956
17,117387.76469344716
18,118934.58924607377
19,119622.06682501893
20,119077.81374168735
21,118963.0781451965
22,116937.1132185417
23,114722.94598121267
24,114748.79322700166
25,118793.4946632471
26,121662.07724214457
27,117646.0616316881
28,123096.36853159331
29,120543.33003637455
30,122752.13862212561
31,118793.4946632471
32,119080.35292113684
33,121289.1615068879
34,117646.0616316881
35,119338.52535323762
36,118936.92379219198
37,115351.19556857014
38,103819.49360140227
39,93205.7380594816
40,105028.38580453923
41,105544.91066874078
42,105544.91066874078
43,106176.21883609821
44,109045.80141499569
45,111054.50922022393
46,111915.38399389316
47,113608.43771544269
48,116162.36621066142
49,115215.40395962526
