,0
0,100000.0
1,100008.594
2,99992.177
3,100034.76699999999
4,100031.16262841986
5,100017.70747126959
6,100004.986952898
7,100006.1498324909
8,99993.43231411932
9,99984.71879574773
10,100000.343952898
11,99977.48913143667
12,99943.89421601612
13,99941.65355970508
14,100009.30052161914
15,99984.80348463185
16,99982.39548463185
17,100047.06357509572
18,100027.7791458965
19,100061.58185015089
20,100028.95458178296
21,100009.2042654492
22,99977.78829094855
23,99900.70468378035
24,99920.50315434893
25,99974.69121946771
26,100009.23705853899
27,100046.77989761026
28,99557.5310548025
29,95909.31915514811
30,99108.92678694605
31,95450.42782997736
32,98911.0411178509
33,100919.22010662805
34,102639.97890787851
35,101516.17841348992
36,102034.5574068609
37,101822.49379684878
38,103244.57147199487
39,105095.67444964076
40,105269.53035669946
41,105071.72858797033
42,105046.12806653554
43,103223.91443749197
44,104094.2856877094
45,103546.89673757894
46,103948.4235591007
47,103526.68973757894
48,100108.99420827444
49,95705.1125573612
50,102600.40011271596
51,103138.29853097082
52,102873.39551061559
53,102499.12635762716
54,102392.19922499395
55,102391.5853396628
56,102353.48470146394
57,102387.48633966279
58,103736.7593148215
59,102550.22924929963
60,102890.01369481049
61,99764.44229026948
62,99681.88408015596
63,102453.7914890726
64,101730.59459805087
65,102855.56753964022
66,101677.67938793733
67,101675.14938793733
68,101675.12408793734
69,104086.38039134309
70,102438.68858401582
71,94682.48080806062
72,96570.71048826312
73,105009.68272863359
74,107782.49578889819
75,109470.29504297227
76,111037.53720746965
77,112122.55101366014
78,109229.18086381884
79,108787.13820203753
80,108345.09554025622
81,102477.98384752245
82,106369.73751107187
83,103927.4906751649
84,105256.48231097459
85,102686.31402874803
86,102083.31581572618
87,107749.81782813158
88,105619.8560787877
89,102927.26292395678
90,102645.94722121324
91,102887.07496642199
92,101520.68441023913
93,101681.43624037829
94,101680.05277325181
95,100882.12355205565
96,110526.38971698485
97,104096.34347369871
98,103131.8365372058
99,102488.83191287718
100,102086.9540226718
101,101966.43973977766
102,101323.10332083968
103,101684.8230796173
104,100800.61922482755
105,100800.61922482755
106,101885.77850116043
107,101282.91223653105
108,101282.91223653105
109,101282.91223653105
110,100840.81030913618
111,100479.09055035857
112,100479.09055035857
113,102488.64476578978
114,93204.50429049759
115,96419.7910351875
116,100077.17970727231
117,100760.42814051894
118,98027.43440753249
119,103895.33271659164
120,111451.256566613
121,113099.09102326659
122,112656.98909587173
123,111933.5495783165
124,110533.5744427636
125,110854.53861360099
126,109985.3406395867
127,108522.9865981286
128,105682.69651957635
129,100421.88499825263
130,98781.02557597328
131,98739.85787055183
132,104020.4947807615
133,104020.4947807615
134,98780.16807597328
135,100795.67834704567
136,90718.12699168373
137,93741.39239829232
138,101924.36409884621
139,100795.67834704567
140,104826.69888919045
141,104826.69888919045
142,100853.76814162421
143,101697.78345547462
144,101899.43368258186
145,97783.71272959419
146,101294.18060126014
147,101697.68265547462
148,103069.58963980385
149,103432.74148859688
150,102504.68676390358
151,99599.47197355934
152,100890.67854704567
153,102706.43779101082
154,98550.3666326017
155,98832.81807055183
156,99680.17238440223
157,99639.82217898079
158,98873.16827597328
159,99276.67033018776
160,97783.71272959419
161,97864.41314043709
162,98146.86457838722
163,100083.67443861671
164,100083.67443861671
165,98469.6662217588
166,98227.56498923012
167,93103.08890070625
168,96452.15595068641
169,94161.21251932331
170,93676.55512036763
171,93232.64939715825
172,96461.05465686282
173,93030.87406842671
174,98922.7136673876
175,104168.87221440753
176,95896.08373641454
177,94860.72530536137
178,93325.74194268286
179,93850.39350096759
180,93366.09975485859
181,93204.66850615558
182,93567.88881573733
183,93285.3841305071
184,92357.15445046482
185,93446.81537921008
186,93648.60444008885
187,93487.17319138584
188,93285.3841305071
189,93366.09975485859
190,93567.88881573733
191,93245.02631833134
192,93043.2372574526
193,92034.29195305883
194,84769.88576142368
195,85334.8951318842
196,84971.67482230245
197,84890.95919795093
198,82751.99515263614
199,80855.17798037585
200,82751.99515263614
201,91025.34664866506
202,93648.60444008885
203,93245.02631833134
204,93043.2372574526
205,92881.80600874958
206,92841.44819657382
207,92962.52163310107
208,93325.74194268286
209,93366.09975485859
210,94859.33880536136
211,93648.60444008885
212,93245.02631833134
213,93285.3841305071
214,93043.2372574526
215,92881.80600874958
216,93043.2372574526
217,89612.82322251378
218,90823.55758778629
219,92437.87007481631
220,92599.30132351932
221,92841.44819657382
222,92841.44819657382
223,92639.65913569508
224,92034.29195305883
225,92034.29195305883
226,91025.34664866506
227,91227.1357095438
228,90460.33727820453
229,91348.20914607105
230,91975.67114088306
231,92820.90619657384
232,92135.01638958608
233,93103.36388180409
234,89754.49547121678
235,93143.71169397984
236,98469.62290117894
237,94031.36356184636
238,84751.36676142369
239,93143.71169397984
240,93023.36025745259
241,92819.31619657383
242,93101.75088180408
243,92375.49026264057
244,92413.65282123057
245,92008.5845271281
246,92008.5845271281
247,92089.2913259486
248,92048.93792653835
249,92048.93792653835
250,91362.93013656414
251,92008.5845271281
252,90797.98254482067
253,90048.01795602596
254,90852.85494423092
255,90408.96755071818
256,89601.89956251324
257,90651.08794717968
258,94444.30749174296
259,92830.17151533306
260,86373.6276096934
261,94847.84148584545
262,92830.17151533306
263,94847.84148584545
264,94484.66089115322
265,94605.72108938397
266,94686.42788820446
267,95251.37547994794
268,94444.30749174296
269,92103.8103259486
270,94282.89389410197
271,94121.48029646098
272,94646.07448879421
273,91715.50141877888
274,91596.9733529949
275,88693.37456472586
276,89097.03953420767
277,89662.4471874822
278,89864.37849222311
279,90025.92353601583
280,89662.4471874822
281,90147.08231886038
282,89339.91188814864
283,89057.15026959799
284,87562.90390297315
285,88774.45501104735
286,88855.22508491896
287,89057.15026959799
288,89137.92034346961
289,89259.07545427703
290,89057.15026959799
291,89057.15026959799
292,88538.13526866892
293,87769.49573428942
294,88456.12753662896
295,86961.69361388995
296,89142.75933896852
297,88658.07806672883
298,88658.07806672883
299,87890.66605234935
300,87931.0561583693
301,87931.0561583693
302,87850.27594632936
303,87365.59467408968
304,87042.47382592989
305,86032.72117543055
306,80822.39749885394
307,84821.01799483133
308,84425.0169346316
309,84422.9269346316
310,80828.20749885395
311,80787.81739283397
312,73719.54883933856
313,76708.4166848166
314,74689.15415355253
315,74325.68862311888
316,69237.17119704772
317,63406.468474360954
318,67201.0980144458
319,67322.373791257
320,72867.45686563598
321,70438.95332941161
322,69831.82744535552
323,69953.25262216675
324,70560.37850622283
325,69548.50203279601
326,69791.35238641844
327,69427.0768559848
328,68698.52579511747
329,66027.17190527068
330,63881.99378160582
331,59348.78718065368
332,63679.618486920466
333,63315.34295648681
334,62748.69213136779
335,62303.466483059994
336,62060.61612943755
337,62748.69213136779
338,63072.49260286437
339,65905.74672845947
340,67241.42367338286
341,66796.19802507506
342,63922.4688405429
343,64084.36907629119
344,64772.445078221426
345,66755.72296613798
346,65055.77049078094
347,64853.39519609557
348,66472.39755357848
349,67119.99849657164
350,66796.19802507506
351,67034.7771591445
352,65050.49004954124
353,67479.09382456566
354,67195.75671747947
355,67236.2334470632
356,67600.52401331687
357,68045.76803873801
358,67195.75671747947
359,67236.2334470632
360,67721.9542020681
361,68086.24476832175
362,68167.19822748924
363,64686.19948328757
364,60638.52652491355
365,54567.01708735251
366,49102.65859354759
367,44204.974313915016
368,43759.730288493876
369,43314.48626307273
