name,trade_date,open,high,low,close,volume,OpenInterest,MACD
Brent oil,2015-01-02,58.91,59.41,56.29,57.45,79883,281351,-4.719802513
Brent oil,2015-01-05,57.08,57.12,53.65,54.15,189091,285633,-4.898699661
Brent oil,2015-01-06,54.23,54.65,51.55,52,244287,296526,-5.154545579
Brent oil,2015-01-07,52.13,52.8,50.66,52.09,250471,322074,-5.289073913
Brent oil,2015-01-08,52.08,52.93,50.9,52.12,220316,340633,-5.331806096
Brent oil,2015-01-09,52.36,52.51,50.1,51.28,300479,350481,-5.37153295
Brent oil,2015-01-12,51.09,51.12,48.44,48.46,291126,350283,-5.566401193
Brent oil,2015-01-13,48.3,48.5,46.4,48,400976,365897,-5.692336127
Brent oil,2015-01-14,48,50.37,46.78,49.73,411296,381649,-5.588127473
Brent oil,2015-01-15,49.6,52.42,48.07,48.36,448066,386587,-5.552087901
Brent oil,2015-01-16,48.25,50.41,48.07,49.9,293492,381397,-5.337731109
Brent oil,2015-01-19,50.1,50.35,48.68,48.85,106771,377744,-5.192719593
Brent oil,2015-01-20,48.91,49.48,47.78,48.17,259584,376797,-5.074175304
Brent oil,2015-01-21,48.29,49.59,48.21,48.75,268649,378610,-4.877205559
Brent oil,2015-01-22,48.6,50.45,48.02,49,321470,374802,-4.647360823
Brent oil,2015-01-23,49.11,49.8,48.55,48.55,245343,365874,-4.450219098
Brent oil,2015-01-26,48.56,49.29,47.57,48.11,241380,358072,-4.280148298
Brent oil,2015-01-27,48.25,49.99,47.67,49.26,249568,345625,-4.006387434
Brent oil,2015-01-28,49.1,49.72,48.29,48.65,275153,340113,-3.794906559
Brent oil,2015-01-29,48.69,49.25,48.37,49.05,236631,322184,-3.554060784
Brent oil,2015-01-30,49.15,53.08,48.76,52.95,335018,306467,-3.013750723
Brent oil,2015-02-02,52.68,55.62,51.41,54.85,402067,283803,-2.404519186
Brent oil,2015-02-03,55,59,54.84,57,414587,252195,-1.728289131
Brent oil,2015-02-04,59.1,59.11,54.54,55.47,224731,311772,-1.300834938
Brent oil,2015-02-05,55.85,58.78,54.06,57.87,236907,323533,-0.759657607
Brent oil,2015-02-06,57.67,59.9,57.67,59.09,190948,339219,-0.229679271
Brent oil,2015-02-09,58.5,60.59,58.25,58.83,204354,333617,0.167422609
Brent oil,2015-02-10,58.87,59.62,57.19,57.97,231892,327089,0.408030376
Brent oil,2015-02-11,58.15,58.15,55.16,56.3,291699,329762,0.458671443
Brent oil,2015-02-12,56.33,59.91,56.07,59.24,371561,329806,0.727650383
Brent oil,2015-02-13,59.27,61.77,59.08,61.41,348799,331604,1.103201969
Brent oil,2015-02-16,61.49,62.57,60.71,61.6,171270,339836,1.400022135
Brent oil,2015-02-17,61.68,63,60.27,62.29,277965,327722,1.671661614
Brent oil,2015-02-18,62.3,62.46,59.25,59.46,224099,307778,1.639679307
Brent oil,2015-02-19,59.54,60.99,57.8,60.21,303861,296584,1.6557652
Brent oil,2015-02-20,60.89,61.72,60.51,60.59,125659,317698,1.679812379
Brent oil,2015-02-23,60.58,61.36,58.94,59.92,145660,315888,1.626062307
Brent oil,2015-02-24,59.92,60.94,58.87,59.32,135743,312616,1.517556554
Brent oil,2015-02-25,59.51,62.92,59.25,62.56,133814,308947,1.673712372
Brent oil,2015-02-26,62.53,63.25,60.33,61.17,135915,311956,1.666099837
Brent oil,2015-02-27,61.33,63.4,61.24,63.09,145228,311246,1.7943111
Brent oil,2015-03-02,62.83,62.96,60.04,60.67,173291,322136,1.681265098
Brent oil,2015-03-03,60.64,62.52,60.47,61.75,167299,321919,1.659690423
Brent oil,2015-03-04,61.54,61.69,60.24,61.06,162982,313523,1.568830601
Brent oil,2015-03-05,61.19,62.1,60.58,61.13,177542,333432,1.485349765
Brent oil,2015-03-06,61.19,61.75,59.67,60.26,160563,345631,1.333615779
Brent oil,2015-03-09,60.05,60.5,58.95,59.11,194228,352048,1.107800084
Brent oil,2015-03-10,58.95,59.26,56.62,56.91,197285,360161,0.742755877
Brent oil,2015-03-11,56.93,58.25,56.35,58.22,228623,352594,0.552789551
Brent oil,2015-03-12,58.23,59.15,56.75,57.18,270011,350269,0.314692976
Brent oil,2015-03-13,57.25,57.6,54.75,54.89,276362,356368,-0.058114232
Brent oil,2015-03-16,54.66,55.01,52.65,54.15,283903,363984,-0.40856872
Brent oil,2015-03-17,54.1,54.38,52.57,53.3,240285,364846,-0.746291539
Brent oil,2015-03-18,53.28,56.84,52.68,56.27,262440,363880,-0.765461365
Brent oil,2015-03-19,56.18,56.2,53.91,54.46,209646,362911,-0.916144717
Brent oil,2015-03-20,54.46,55.67,53.55,55.22,186667,356693,-0.963134299
Brent oil,2015-03-23,55.24,56.19,54.12,55.89,191637,344310,-0.935526315
Brent oil,2015-03-24,55.83,56.79,54.85,55.31,197476,342716,-0.949502666
Brent oil,2015-03-25,55.09,57.17,54.7,56.38,256043,336435,-0.86427613
Brent oil,2015-03-26,56.35,59.78,56.3,58.86,334870,341882,-0.589819144
Brent oil,2015-03-27,58.97,59.04,55.95,56.12,223862,339210,-0.586642655
Brent oil,2015-03-30,57.45,57.58,56.18,57.45,133782,341935,-0.471371701
Brent oil,2015-03-31,57.12,57.31,55.78,56.15,161563,337637,-0.479391646
Brent oil,2015-04-01,56.18,58.72,55.76,57.73,203788,350823,-0.35417204
Brent oil,2015-04-02,57.75,58.32,55.12,56.23,187638,363132,-0.371687482
Brent oil,2015-04-07,59.3,60.32,58.17,59.66,222597,383893,-0.107556418
Brent oil,2015-04-08,59.35,59.75,56.61,57.29,268733,395125,-0.088450241
Brent oil,2015-04-09,57.3,59.16,57.1,57.92,214867,407511,-0.022216624
Brent oil,2015-04-10,57.88,59.18,57.33,59.1,206752,409786,0.124060047
Brent oil,2015-04-13,59.06,60.59,58.56,59.06,248540,412181,0.234059603
Brent oil,2015-04-14,59.14,60.44,58.95,60.17,296470,423360,0.406121254
Brent oil,2015-04-15,60.06,63.47,60.03,62.71,344269,435599,0.73892031
Brent oil,2015-04-16,62.9,64.95,62,63.94,293485,446816,1.089359226
Brent oil,2015-04-17,64.02,64.5,62.95,63.72,220117,440260,1.333955423
Brent oil,2015-04-20,63.85,64.4,62.1,63.48,239802,447520,1.491243549
Brent oil,2015-04-21,63.52,63.52,61.65,61.78,218306,453644,1.461868223
Brent oil,2015-04-22,61.9,63.33,61.39,62.85,230058,449458,1.507550024
Brent oil,2015-04-23,62.88,65.58,62.22,64.75,326736,449517,1.677727504
Brent oil,2015-04-24,64.75,65.8,64.48,65.49,259489,423396,1.850969376
Brent oil,2015-04-27,65.47,65.61,64.4,64.65,189765,408212,1.898597972
Brent oil,2015-04-28,64.74,65.49,63.9,64.57,196461,402011,1.907895613
Brent oil,2015-04-29,64.64,66.72,64.13,65.6,238435,395005,1.975602931
Brent oil,2015-04-30,65.63,66.93,65.37,66.8,223481,383826,2.101862478
Brent oil,2015-05-01,66.78,66.93,65.52,66.51,189316,359672,2.153697023
Brent oil,2015-05-05,66.33,68.4,66.14,67.57,255639,316509,2.254322983
Brent oil,2015-05-06,68.43,70.36,68.04,68.15,182444,358607,2.353738502
Brent oil,2015-05-07,68.04,69.17,65.88,66.32,215495,364663,2.258822016
Brent oil,2015-05-08,66.16,66.88,65,66.4,194398,359046,2.165097453
Brent oil,2015-05-11,66.15,66.53,65.01,65.51,192324,355235,1.995995902
Brent oil,2015-05-12,65.5,67.95,65.4,67.82,296214,364025,2.025036043
Brent oil,2015-05-13,67.83,68.52,66.87,67.04,315582,364409,1.962488735
Brent oil,2015-05-14,67.03,67.82,66.26,66.65,247258,354307,1.860008778
Brent oil,2015-05-15,66.75,67,65.37,66.86,206137,346213,1.77527367
Brent oil,2015-05-18,66.91,67.88,65.92,66.3,198219,342030,1.64398236
Brent oil,2015-05-19,66.19,66.39,63.95,64.45,253354,323985,1.37480561
Brent oil,2015-05-20,64.49,65.18,64.1,64.96,210395,309751,1.188928604
Brent oil,2015-05-21,64.89,66.88,64.83,66.48,250909,297462,1.151002989
Brent oil,2015-05-22,66.59,66.64,65.1,65.57,184554,294612,1.035579752
Brent oil,2015-05-26,65.7,65.7,63.29,63.89,224131,278422,0.799329869
Brent oil,2015-05-27,63.89,64.67,61.96,62.25,257061,268359,0.474298423
Brent oil,2015-05-28,62.2,62.95,61.24,62.85,238590,256323,0.262102294
Brent oil,2015-05-29,62.89,65.83,62.68,65.45,278461,242930,0.300272252
Brent oil,2015-06-01,66.6,66.6,64.86,65.5,133238,256268,0.330744188
Brent oil,2015-06-02,65.35,66.5,65.27,66.1,169533,264965,0.398712296
Brent oil,2015-06-03,66.11,66.12,64.26,64.46,193201,299408,0.316593721
Brent oil,2015-06-04,64.56,64.74,62.48,62.81,175573,313821,0.117023969
Brent oil,2015-06-05,62.6,64.12,61.67,63.92,161461,317082,0.047879303
Brent oil,2015-06-08,63.56,64.04,63.04,63.19,208398,317049,-0.065073119
Brent oil,2015-06-09,63.22,65.79,63.22,65.72,237039,323105,0.048996329
Brent oil,2015-06-10,65.8,66.94,65.44,66.09,235649,318714,0.167324286
Brent oil,2015-06-11,66.11,66.71,65.2,65.47,193362,309791,0.208665856
Brent oil,2015-06-12,66.15,66.23,65.15,65.29,68815,344347,0.224319042
Brent oil,2015-06-15,65.07,65.37,64.04,64.68,139220,347353,0.185365624
Brent oil,2015-06-16,64.47,65.11,64.2,64.45,164249,344839,0.134386556
Brent oil,2015-06-17,64.51,66.21,63.41,64.48,178703,339593,0.095307383
Brent oil,2015-06-18,64.57,65.71,64.22,64.98,133455,333557,0.103489713
