name,trade_date,close,VMF1,VMF2,VMF3,VMF4,VMF5,VMF6,VMF7,VMF8,VMF9,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,CCI,MACD,RSI,volume,OpenInterest
Brent oil,2015-01-02,57.45,3.08498152,2.404920225,1.082814213,0.171017025,-0.489264494,-1.806239311,-6.370452165,5.962624,48.74576478,0.57186339,0.486409909,0.302311933,0.04626544,-0.235925218,-0.476495145,-0.75049603,-0.695216368,12.10371725,-48.36449995,-4.719802513,26.30901684,79883,281351
Brent oil,2015-01-05,54.15,-2.557524352,-0.246822794,2.41691859,2.910061201,2.463261353,-1.242102656,-6.284095727,6.022777918,48.80334613,-0.473122231,-0.178871073,0.291515392,0.629011712,0.487770208,0.203981622,-0.490717563,-0.593225694,12.11647827,-64.59102872,-4.898699661,22.167927,189091,285633
Brent oil,2015-01-06,52,1.841487221,-1.872104814,-2.666844563,-0.290110516,1.745519646,-0.528368329,-6.198066257,6.069437194,48.84672876,0.347391678,-0.173940433,-0.590360826,-0.224159831,0.503331042,0.670182767,-0.133294287,-0.446183121,12.12801423,-75.60090952,-5.154545579,19.96322481,244287,296526
Brent oil,2015-01-07,52.09,-1.007447457,2.864125724,-0.357072372,-2.630270798,-1.306423244,0.210717971,-6.118834985,6.098016609,48.87162065,-0.205029153,0.42871715,0.362338229,-0.505207219,-0.143691813,0.535745179,0.233130829,-0.270145261,12.13881998,-75.00477517,-5.289073913,20.32046505,250471,322074
Brent oil,2015-01-08,52.12,0.180976107,-2.25857078,2.721018323,0.430676557,-2.225655741,0.860033553,-6.052615776,6.103245632,48.87287806,0.059841198,-0.490863062,0.157694337,0.34938295,-0.534760752,-0.045033541,0.524356127,-0.081789683,12.14966262,-66.40163191,-5.331806096,20.44792852,220316,340633
Brent oil,2015-01-09,51.28,0.586399367,0.55660359,-1.508002742,2.427585101,0.083354345,1.352862395,-5.987750318,6.096084265,48.86129116,0.075947249,0.353020471,-0.500779269,0.353224683,-0.185002992,-0.547551856,0.677286055,0.100860822,12.15999061,-65.69806381,-5.37153295,19.50696798,300479,350481
Brent oil,2015-01-12,48.46,-1.222318807,1.253688932,-1.459806525,-0.514833839,2.067720168,1.658432443,-5.906942185,6.09242607,48.8524568,-0.19043425,-0.087600999,0.389050864,-0.411349825,0.365928994,-0.548023861,0.66573683,0.262203679,12.16971318,-74.64864889,-5.566401193,16.72450239,291126,350283
Brent oil,2015-01-13,48,1.66605062,-2.239582162,2.326318917,-2.236535921,0.934875803,1.761053467,-5.800738457,6.10070188,48.8545758,0.276621296,-0.185237301,0.046165549,-0.193883444,0.379458431,-0.078946068,0.50539978,0.391209818,12.17976549,-81.3915861,-5.692336127,16.31567638,400976,365897
Brent oil,2015-01-14,49.73,-1.914306079,1.951859328,-0.267731842,0.539286257,-1.448958632,1.654985549,-5.668257828,6.121631252,48.86828631,-0.331360933,0.353872944,-0.406457111,0.412734168,-0.096806019,0.424753221,0.245203391,0.480551598,12.1911911,-64.71482028,-5.588127473,23.8544831,411296,381649
Brent oil,2015-01-15,48.36,1.959241073,-0.69590626,-1.897986569,2.014437859,-1.591207803,1.345210341,-5.517842666,6.147390608,48.88579674,0.351223093,-0.365785944,0.385214142,0.04897166,-0.390216303,0.52472488,-0.04868854,0.525305108,12.20412166,-55.07363063,-5.552087901,22.15255405,448066,386587
Brent oil,2015-01-16,49.9,-1.825165841,-0.756082297,1.512539211,-0.543808174,0.544847092,0.872919543,-5.347303354,6.180533831,48.90964992,-0.340519476,0.23213873,-0.038746954,-0.36988489,-0.154298167,0.159374808,-0.310327814,0.522532064,12.21743383,-52.76889181,-5.337731109,28.34159577,293492,381397
Brent oil,2015-01-19,48.85,1.547173619,1.616089644,0.652260804,-1.805828718,1.727268826,0.292652718,-5.160076541,6.218114639,48.93690043,0.306333707,-0.021644571,-0.30262083,0.063268055,0.238982864,-0.321191788,-0.486929591,0.472672907,12.22915654,-51.44448443,-5.192719593,26.77838791,106771,377744
Brent oil,2015-01-20,48.17,-1.186000103,-1.527055888,-1.7535804,0.529893744,0.356889427,-0.311796599,-4.944532054,6.272040315,48.97940204,-0.254707376,-0.16922605,0.353305119,0.300343665,0.285785469,-0.479311909,-0.541669166,0.386439833,12.24215146,-54.52256612,-5.074175304,25.78644165,259584,376797
