name,trade_date,close,VMF7,VMF8,VMF9,IMF9,CCI,MACD,EMV,BOLL,volume,OpenInterest,open,high,low
Brent oil,2015-01-02,57.45,-6.370452165,5.962624,48.74576478,12.10371725,-147.14,0.3649,-1.07623,63.08,79883,281351,58.91,59.41,56.29
Brent oil,2015-01-05,54.15,-6.284095727,6.022777918,48.80334613,12.11647827,-203.73,0.0057,-1.29909,62.23,189091,285633,57.08,57.12,53.65
Brent oil,2015-01-06,52,-6.198066257,6.069437194,48.84672876,12.12801423,-206.63,-0.4048,-1.46946,61.33,244287,296526,54.23,54.65,51.55
Brent oil,2015-01-07,52.09,-6.118834985,6.098016609,48.87162065,12.13881998,-175.72,-0.5391,-1.43046,60.46,250471,322074,52.13,52.8,50.66
Brent oil,2015-01-08,52.12,-6.052615776,6.103245632,48.87287806,12.14966262,-135.51,-0.4996,-1.32286,59.62,220316,340633,52.08,52.93,50.9
Brent oil,2015-01-09,51.28,-5.987750318,6.096084265,48.86129116,12.15999061,-118.21,-0.4633,-1.21698,58.86,300479,350481,52.36,52.51,50.1
Brent oil,2015-01-12,48.46,-5.906942185,6.09242607,48.8524568,12.16971318,-124.48,-0.6824,-1.53449,57.94,291126,350283,51.09,51.12,48.44
Brent oil,2015-01-13,48,-5.800738457,6.10070188,48.8545758,12.17976549,-127.05,-0.7474,-1.73194,57.11,400976,365897,48.3,48.5,46.4
Brent oil,2015-01-14,49.73,-5.668257828,6.121631252,48.86828631,12.1911911,-92.16,-0.4312,-1.52215,56.42,411296,381649,48,50.37,46.78
Brent oil,2015-01-15,48.36,-5.517842666,6.147390608,48.88579674,12.20412166,-72.06,-0.2873,-1.40493,55.74,448066,386587,49.6,52.42,48.07
Brent oil,2015-01-16,49.9,-5.347303354,6.180533831,48.90964992,12.21743383,-68.27,0.1131,-1.45534,55.21,293492,381397,48.25,50.41,48.07
