name,trade_date,open,high,low,close,volume,open interest,CCI,MACD,RSI
WTI oil,2015-01-02,59.82,59.85,57.96,58.87,4113,85408,-36.1190876,-3.566811074,31.69681423
WTI oil,2015-01-05,58.24,58.44,56.81,56.81,7088,85265,-46.53276509,-3.608647142,27.93534487
WTI oil,2015-01-06,57.12,57.17,54.6,55.09,9044,84458,-57.92593685,-3.737508482,25.24189006
WTI oil,2015-01-07,55.01,55.76,54.36,55.13,13155,85313,-56.97185316,-3.792684648,25.42197722
WTI oil,2015-01-08,55.17,55.41,54.33,55.3,8396,81697,-52.81368065,-3.779131107,26.23526979
WTI oil,2015-01-09,55.51,55.7,54.02,55.21,16007,81122,-48.27534077,-3.732624702,26.07316051
WTI oil,2015-01-12,54.69,54.79,53.27,53.38,9764,75790,-56.824875,-3.799633933,22.96576497
WTI oil,2015-01-13,46.24,47.36,44.8,46.77,75513,98649,-129.1522714,-4.336126817,15.69134827
WTI oil,2015-01-14,46.83,49.38,45.66,48.97,76300,105541,-102.2897196,-4.531542875,24.2872632
WTI oil,2015-01-15,48.8,51.72,46.53,46.74,109825,107088,-92.92434087,-4.810896847,21.85486356
WTI oil,2015-01-16,46.73,49.34,46.71,48.91,71737,102566,-88.24208102,-4.801833471,29.27742761
WTI oil,2015-01-19,49.15,49.15,47.77,48.04,10382,106546,-82.20115186,-4.809412495,28.1240435
WTI oil,2015-01-20,47.9,48.23,46.39,46.62,54337,107220,-89.48306902,-4.873818711,26.30268708
WTI oil,2015-01-21,46.74,48.18,46.56,47.31,69882,106893,-78.05507888,-4.813694593,28.71837163
WTI oil,2015-01-22,47.3,49.07,45.86,46.64,73540,111356,-71.99772071,-4.765179178,27.76662349
WTI oil,2015-01-23,47,47.39,45.08,45.35,61580,108021,-75.89662433,-4.775770471,25.9812778
WTI oil,2015-01-26,45.2,46.38,44.39,45.09,49828,104228,-72.96330079,-4.750384499,25.62366844
WTI oil,2015-01-27,45.34,46.55,44.81,45.78,52011,102071,-60.2572674,-4.621317034,28.43872338
WTI oil,2015-01-28,45.5,45.74,44.07,44.34,72304,101613,-62.35621874,-4.582403014,26.20923813
