name,trade_date,close,VMF1,VMF2,VMF3,VMF4,VMF5,VMF6,VMF7,VMF8,VMF9,CCI,MACD,RSI
WTI oil,2015-01-02,58.87,3.735562701,2.779748785,1.26516113,-0.285520967,-0.636859513,3.446294746,-3.690645182,3.008494042,48.3332637,-36.1190876,-3.566811074,31.69681423
WTI oil,2015-01-05,56.81,-3.17643038,-0.075123478,2.849206345,3.957695779,2.356963321,3.554130359,-3.548091175,3.117206806,48.43516914,-46.53276509,-3.608647142,27.93534487
WTI oil,2015-01-06,55.09,2.366285049,-2.475633383,-3.003306934,0.203552585,2.277818762,3.540508443,-3.392733899,3.22377472,48.53222185,-57.92593685,-3.737508482,25.24189006
WTI oil,2015-01-07,55.13,-1.408617509,3.599272454,-0.584385554,-3.615806598,-0.359643345,3.369008727,-3.245299055,3.312251375,48.60955335,-56.97185316,-3.792684648,25.42197722
WTI oil,2015-01-08,55.3,0.466362835,-2.778027852,3.106962184,-0.08797946,-2.149364437,3.0137016,-3.125561105,3.366460222,48.65175998,-52.81368065,-3.779131107,26.23526979
WTI oil,2015-01-09,55.21,0.410235727,0.662555803,-1.420164289,3.393932505,-1.117219379,2.48967981,-3.027076022,3.393880098,48.66643515,-48.27534077,-3.732624702,26.07316051
WTI oil,2015-01-12,53.38,-1.119741886,1.578968704,-1.842792349,0.056782724,1.079584633,1.829362373,-2.937151748,3.406850387,48.66569379,-56.824875,-3.799633933,22.96576497
WTI oil,2015-01-13,46.77,1.633560536,-2.78E+00,2.406057357,-3.135120653,1.630549197,1.065922809,-2.849886612,3.410359853,48.65417303,-129.1522714,-4.336126817,15.69134827
WTI oil,2015-01-14,48.97,-1.933527305,2.441132507,0.123870079,-0.004390602,0.172176045,0.260075519,-2.738389118,3.429605777,48.65650906,-102.2897196,-4.531542875,24.2872632
WTI oil,2015-01-15,46.74,1.995856933,-0.971801109,-2.220491395,2.81827846,-1.238921634,-0.556738114,-2.603051636,3.463954805,48.67188578,-92.92434087,-4.810896847,21.85486356
WTI oil,2015-01-16,48.91,-1.872098534,-0.769935446,1.226562094,-0.082449135,-0.959699797,-1.359097606,-2.447859149,3.510286054,48.69727259,-88.24208102,-4.801833471,29.27742761
WTI oil,2015-01-19,48.04,1.616169307,1.879415236,1.198343608,-2.529265522,0.340584007,-2.141312335,-2.294441879,3.548582525,48.71292949,-82.20115186,-4.809412495,28.1240435
WTI oil,2015-01-20,46.62,-1.274840188,-1.872746676,-1.710723269,0.203467895,0.985432638,-2.857835657,-2.128007991,3.593915255,48.73383275,-89.48306902,-4.873818711,26.30268708
