,0
0,55012.41464358333
1,58910.46581369976
2,60352.73180220608
3,61809.6981307148
4,61604.466754958004
5,62243.515131365624
6,65641.12593174886
7,63782.27623166321
8,63887.42063245533
9,64598.90443800019
10,59866.912232284056
11,60975.43139603272
12,62213.67369136563
13,63366.83098669854
14,63095.43697718659
15,64362.43799289639
16,65008.44160383828
17,66573.76240391191
18,65836.58209115251
19,63007.205051019984
20,64024.80801107152
21,63036.16243647988
22,64637.562516560865
23,64361.57589864057
24,64972.65816056722
25,66161.56561143487
26,65942.0250534572
27,66426.49355140298
28,66275.05768442052
29,66788.25297636312
30,65419.67648252576
31,66594.18303639501
32,65305.87592454809
33,66403.02075740616
34,67120.95519532006
35,66771.59366735833
36,66366.00675740617
37,66476.6959333934
38,67515.61989926905
39,67907.22060321801
40,66833.5522853679
41,66928.21746135515
42,67526.74500227063
43,67211.10309231846
44,67628.60845724671
45,67205.45360732645
46,67282.2174743089
47,67420.2197232818
48,67782.01968331903
49,68418.52469619268
50,68254.23127072517
51,67879.59078048222
52,68134.52804179757
53,67768.51119086258
54,68513.4530568847
55,68336.76827072518
56,68202.9264024896
57,68436.30641757672
58,68263.54623833744
59,68391.19802449696
