,0
0,165972.51728499672
1,165891.03349636574
2,166354.62179736485
3,166363.97478072377
4,167171.3209909226
5,166737.46435746044
6,166584.69246750046
7,166869.9442657594
8,166277.15465964522
9,167087.4371359866
10,167528.62885849393
11,167904.77562756115
12,167895.88763162974
13,168445.9993076344
14,168409.068327897
15,168475.1392892598
16,171234.20371085033
17,173690.09529002535
18,174454.84285137424
19,171389.90033022253
20,172290.37983583775
21,171633.78019632667
22,178481.17643694248
23,179888.17566446628
24,175479.57808489172
25,172853.17952684726
26,174429.01866167394
27,175685.9379715952
28,182702.1741195139
29,181107.57499498694
30,177787.05681803077
31,179963.21562326758
32,177468.13699312537
33,184146.69332643837
34,202024.96351084084
35,214950.59641435952
36,207259.00063722936
37,221535.35279917088
38,233391.6662897715
39,242959.26103693334
40,211142.3185051951
41,204895.24193498938
42,210410.6789068827
43,198929.56521028845
44,185328.57267755835
45,183996.61340883584
46,200824.32417002053
47,197803.96582826943
48,211048.51855669345
49,208178.24013254492
50,220803.7132008585
51,215063.15635256137
52,219246.63405573217
53,200055.16459230747
54,203732.1225735697
55,208309.56006044714
56,198272.96557077736
57,196584.56649774878
58,202644.0431709513
59,198329.2455398783
