,0
0,90853.02402141003
1,88495.29289563862
2,91110.79757517543
3,90882.45986505714
4,91608.98894270626
5,91692.02083729472
6,93891.12515072318
7,95114.54670822443
8,99285.40271869482
9,101132.19965865434
10,99140.1490267879
11,100239.92697979748
12,99126.1286534389
13,98067.02375096007
14,99561.28670975371
15,101325.34714721843
16,101761.17384353324
17,100993.28871193095
18,101387.60810383483
19,101657.40558250589
20,104555.79008079642
21,103836.66411849408
22,104434.01459076857
23,105118.08842335676
24,106092.37539704297
25,106777.72151103926
26,108578.83801879834
27,105323.90047031354
28,103333.62018588973
29,106049.52349067641
30,106505.62938919019
31,106339.77269882154
32,106692.21816585494
33,107226.28685569453
34,105049.63196619602
35,111059.20278481097
36,112261.11694853396
37,113027.85529435726
38,116840.82436547847
39,115307.34767383189
40,117711.17600127788
41,115908.30475569339
42,117048.05094543072
43,114022.542878128
44,113587.3670602283
45,115841.48987558887
46,115339.55476878161
47,116311.66103911315
48,114322.26732230408
49,115771.22861581069
50,115687.97820879408
51,114544.2428319813
52,114004.45852561793
53,114145.43131965342
54,116444.55820935908
55,119779.3278421754
56,121539.92050546351
57,122451.28611940089
58,123507.64171737376
59,125661.77862304392
