,0
0,100000.0
1,100000.0
2,99779.585
3,99781.05175439453
4,99780.84971243591
5,99714.28404301971
6,99525.7264355902
7,99522.49488744835
8,99522.49488744835
9,99522.49488744835
10,99642.15041490471
11,99584.1269563306
12,99559.67617186843
13,99602.48273901446
14,99622.09915379612
15,99618.2412010632
16,99582.46904018444
17,99578.94637380459
18,99513.5398217149
19,99577.43851332486
20,100618.23550383389
21,101312.38506331266
22,101958.21749045499
23,101337.34674895414
24,102501.2404125266
25,103090.68743589004
26,102985.11426702197
27,102735.0504074356
28,102217.41280940805
29,103082.51994007918
30,103667.18066129138
31,103693.35790499761
32,103824.74090231465
33,102991.01574776552
34,103129.37084879444
35,103234.46240664911
36,103029.47183658739
37,102859.57936642907
38,103548.83129279893
39,103107.59675686431
40,103653.42040055922
41,102816.3477817513
42,103074.18395646635
43,102953.60301811043
44,102961.51559321242
45,102837.07286696565
46,102583.74300288036
47,101881.69473180988
48,102421.52183412912
49,101980.09657960612
50,101059.34699868521
51,100752.35950725086
52,100362.28588782156
53,101447.89051514768
54,100596.77209534835
55,100927.35211383304
56,101173.33637126852
57,100918.17674811208
58,101273.848310745
59,102218.70715314911
60,101071.63244204273
61,101488.78750986376
62,101199.8115413169
63,101380.43110308924
64,101251.5668885
65,101879.22543248202
66,101672.68588751486
67,101762.2201368074
68,102021.36625157367
69,102002.52349920283
70,102466.50137749348
71,103346.29568100678
72,103883.1736832387
73,103774.02933484808
74,103631.64594999471
75,102738.1913527592
76,103338.79516399608
77,104431.26560869747
78,104821.70926332432
79,104343.26235032384
80,104299.03206493755
81,104818.5436498039
82,105538.0611294525
83,105366.96254283685
84,105951.7936500579
85,106276.39408983118
86,105169.52883292534
87,105208.6860124485
88,104654.14798991289
89,105842.74656303157
90,105510.40756431618
91,105331.86880566251
92,105430.17750485169
93,105102.7697956813
94,103851.02368789562
95,104148.7862773267
96,105053.66654734529
97,104596.22164432037
98,103623.20179717934
99,102553.91063090457
100,102996.14265274658
101,104979.24704447862
102,105013.51493065467
103,105460.83121697916
104,104202.90197552161
105,102856.09924524353
106,103849.99835899688
107,103123.66837701006
108,105827.88836486606
109,106235.69242765979
110,105479.55492450645
111,105237.40287520387
112,104493.43454145626
113,104225.44097672551
114,104256.43841871948
115,104864.45619865041
116,103094.38110962682
117,103766.1159525662
118,105280.84701047497
119,103976.33486323076
120,103635.27463561087
121,103284.3936158471
122,101823.88487047833
123,103329.67662209837
124,101856.90203430905
125,101568.5725404109
126,100062.03659325727
127,94873.82610634225
128,95968.43315210505
129,95517.29553758237
130,96797.83782347008
131,96892.84721018454
132,96055.2953098261
133,96991.8603123026
134,95290.4150311595
135,94849.48209026147
136,94906.58265280181
137,94454.92181749552
138,94850.62827975584
139,94127.78240916872
140,93506.24020467521
141,92645.7826990583
142,91115.58630780372
143,91131.75806196363
144,91702.08695223993
145,91512.971983683
146,89934.65492368511
147,87376.6891197782
148,88183.60103140162
149,87552.85436515398
150,88073.24636620516
151,86857.16144840913
152,88613.53539566616
153,87683.74076528265
154,88069.07578561355
155,87373.08276987982
156,86247.7442883527
157,85976.95335857291
158,86076.58242799276
159,83627.98122204895
160,82804.01785305914
161,81651.21500250993
162,77771.73742636332
163,79165.48598163376
164,79339.62225948916
165,84463.54775454721
166,88096.6150486939
167,94216.78283028484
168,88586.4999643334
169,91303.38395487427
170,91549.76352413643
171,89530.32341566679
172,87131.12731468746
173,89621.32453226348
174,87002.3783762556
175,88777.35499793006
176,87938.95636598482
177,86087.68911854664
178,86760.24433176398
179,88828.84086855873
180,88126.93987965737
181,86339.21473903734
182,87304.14997070775
183,87902.80594441877
184,86154.59201389679
185,86827.00448901614
186,86987.0024824439
187,85817.05118883096
188,86312.30400236425
189,86879.28095662448
190,86534.92488743074
191,86632.89047229395
192,87568.63331550763
193,90060.52696214074
194,89602.0091923463
195,90817.1864752787
196,90153.83204951948
197,88480.07085406678
198,87613.1371720907
199,87540.05131635758
200,88259.03298035986
201,88431.02542707631
202,86696.75107262583
203,86243.90932201862
204,85510.74979242399
205,85856.74525360158
206,85689.10560340503
207,84951.20855527863
208,84452.15615254971
209,86801.16250439323
210,86186.5592505353
211,87263.62433302196
212,86447.72657068165
213,88130.43051622424
214,86745.06416669046
215,85989.89165569267
216,86246.29734120835
217,85858.56380482821
218,85571.66459638816
219,84284.69599100715
220,82702.17344537539
221,82074.68156863493
222,82340.24300599597
223,81467.64752226492
224,81753.35253418967
225,81739.68725131484
226,81922.85719246758
227,82484.60334719592
228,83226.82004824461
229,83583.65591462229
230,82913.31310247844
231,82224.27504944915
232,81863.19958771649
233,81624.94106980028
234,79797.26429398028
235,82262.47345888925
236,81047.31084225143
237,77905.4909391458
238,77501.87012268807
239,77224.07497802626
240,76467.21291677604
241,74426.7124613875
242,74113.87947097723
243,75170.076439392
244,74369.1564506473
245,73671.50588680696
246,73270.91297428164
247,72842.54796072756
248,73063.97983677516
249,74677.64866181408
250,74783.90333837901
251,74089.90529579768
252,73139.84282347135
253,74193.69521039704
254,73906.52552075581
255,73247.58398056154
256,71057.4971020122
257,70468.0550571249
258,70067.00114929548
259,68205.12273405209
260,67425.84728920236
261,66808.999912262
262,67621.60953978682
263,65801.75216734587
264,65459.48242507091
265,65448.365978749665
266,64764.70302455226
267,66563.66552324247
268,68533.44928991931
269,67179.24650346587
270,67795.3225095074
271,68794.12197116755
272,69512.27900186725
273,69752.55363553105
274,68893.80516340212
275,67965.2085914102
276,69510.00264608659
277,68923.08403067286
278,68784.56650998993
279,68317.6424243824
280,66858.44575137444
281,66943.9293009396
282,67044.18483258251
283,68191.33681443124
284,68843.10588123651
285,68220.63067744108
286,68919.27886378403
287,68583.57536418647
288,68358.1557281887
289,68895.22194836498
290,68171.3281164429
291,68944.83734613298
292,69200.49253392266
293,69171.14015562818
294,70110.79788983724
295,70079.50306524377
296,70443.6611351646
297,70441.33761889156
298,71628.00333438476
299,73009.81281432208
300,71822.61926325806
301,73012.0843348765
302,72374.35536335797
303,72575.44365548149
304,71966.33471498067
305,71868.17984790156
306,72973.5404955026
307,74162.02454657567
308,74180.0936654862
309,74178.55005715632
310,74369.66521300316
311,73171.99929334372
312,73026.62926271456
313,71786.93149079845
314,71674.0891762389
315,71937.56567049271
316,70198.65293623133
317,68818.67793454452
318,69694.3734554641
319,71438.73367257055
320,71329.72997205504
321,74123.01661552422
322,75328.26614284795
323,77142.92318620103
324,76697.12908423149
325,76554.38679869148
326,75520.95662839239
327,75664.79823302658
328,76347.04389970146
329,78475.2943405994
330,77435.00508604189
331,78061.73328666523
332,77444.05567435268
333,79224.45218064552
334,80004.80722024276
335,80693.54505591514
336,80333.24359594939
337,78829.44825490212
338,78148.55218228052
339,77807.52610528556
340,78099.11245556727
341,78159.64012892135
342,76003.58723450026
343,78286.04954569094
344,80651.56734872493
345,81212.06272609624
346,81139.45001677735
347,82727.1766006164
348,82985.23208684199
349,82038.69615434951
350,84372.31851144168
351,82851.95216181107
352,82462.27617796729
353,83243.88019121719
354,83889.83972861554
355,83542.71105038715
356,83669.7435305315
357,83942.59795991372
358,83050.23140250078
359,83321.50049089643
360,83581.59793395404
361,83429.08622089987
362,84262.79983111622
363,85587.91677959403
364,87049.70084636507
365,85978.97848949098
366,84096.45551559674
367,83422.39603182813
368,82292.28390529891
369,83871.50691231748
370,79411.41118187347
371,83200.3805515019
372,83484.62119748231
373,84963.27124495193
374,85814.72876214255
375,84153.35171962716
376,86293.36586568286
377,81664.99938379538
378,80116.69562733662
379,82247.69434590352
380,84824.88829435133
381,82793.39927260172
382,84132.85176203217
383,83296.01812496541
384,80351.90353629213
385,82025.7974274142
386,77918.54947142437
387,77903.72237093156
388,77383.45884657923
389,80552.92101386897
390,77944.66204090563
391,79145.82923583423
392,82728.00279310808
393,81131.98816071519
394,80719.49912987786
395,81225.752294382
396,79693.85348965324
397,79045.28899329626
398,77525.9946860777
399,75761.83806435454
400,74062.80367112982
401,73002.69069809592
402,73073.35431726516
403,71505.43429389097
404,71081.15286496069
405,73569.66669707076
406,74863.2433038104
407,75171.19165116866
408,76412.923345064
409,76115.94310611038
410,74169.29268297387
411,78922.94438047333
412,80802.58133490341
413,82236.74395625271
414,82774.61013227238
415,84186.03171786666
416,86133.69320794815
417,85868.2507632765
418,83209.91561501037
419,83987.11419692007
420,82990.88328214231
421,83951.64826274241
422,83740.55465549766
423,83201.09832585251
424,82111.99260571612
425,79394.19013824311
426,77680.0050460829
427,78995.61533251392
428,80125.03197568837
429,80053.44560996952
430,81951.6121230976
431,83773.81415061018
432,80943.70285107156
433,82133.03993238797
434,80776.70154208552
435,78766.43826603913
436,79459.28892433182
437,78733.4812129977
438,78618.08493202907
439,79102.53858713544
440,80405.8242875271
441,81384.61954178812
442,78913.22595278623
443,80504.39716762307
444,79167.13625302615
445,83703.66695064607
446,84008.35931093397
447,84608.63773820843
448,85918.47662850826
449,86777.06922674556
450,87280.3591267939
451,88936.52015745864
452,87415.03457929715
453,89494.39820278452
454,88784.37159964249
455,87380.23000653669
456,87886.5454389988
457,87945.00281132708
458,87398.94783270083
459,88193.40495755813
460,88852.63533775888
461,88446.95510378918
462,89258.31557172857
463,88582.18184844576
464,86814.62754144525
465,86453.29167092632
466,87001.80795454382
467,85588.1204436798
468,82100.19420742412
469,81068.17031018337
470,79680.85949749907
471,78327.38553390463
472,77176.93266484936
473,78411.97765662929
474,77595.50500483783
475,78711.71978198118
476,77322.02904211183
477,75470.64875156494
478,75843.14781310527
479,79309.43642017696
480,78342.31173870139
481,79694.51227427162
482,81007.5161415295
483,84521.55602547652
484,84555.13884398318
485,84234.67421816982
486,84200.94109966313
487,81148.0938748095
488,82562.65768297852
489,79972.47375850654
490,86518.42835472184
491,90028.72916121401
492,91222.43907651931
493,90791.04952209859
494,90389.533511802
495,89173.39020950769
496,90409.69734851143
497,90880.32503398322
498,92230.55724213574
499,91930.41963883015
500,90959.58334045454
501,91571.79986751708
502,93014.30649588388
503,92671.66986742354
504,93411.44408396757
505,92000.50976065459
506,92483.17084646666
507,92769.99115327638
508,94069.37413779409
509,94585.62332717853
510,94260.0939614636
511,94191.62825490489
512,95633.69270640901
513,96184.72891828936
514,96494.32166214082
515,93044.39497881067
516,90926.49100023315
517,93081.27766508245
518,94557.64057878696
519,93562.33973808729
520,94142.9318951621
521,93661.86982215726
522,91157.02937306308
523,91621.50309872293
524,93761.39990622722
525,93143.4412097442
526,93487.08623480148
527,92673.72658966786
528,94290.45793852287
529,93029.81134376458
530,92507.35654330901
531,92820.350485805
532,94603.55517588847
533,94193.17844779938
534,94617.01757162668
535,93216.22826357403
536,92140.9993970595
537,92336.25562476671
538,93123.89304691457
539,94598.66189121033
540,93018.14962768932
541,93483.09158092772
542,93190.05443425369
543,93025.192966686
544,93202.12191764986
545,93584.05895323679
546,94259.99622537883
547,93064.65555040032
548,94275.8194782937
549,93525.55844851726
550,93691.52292552787
551,93835.27722490017
552,93594.53508982956
553,91535.74813969737
554,92930.40021977242
555,93109.1290248344
556,92961.31502705222
557,88626.25182645195
558,87153.73380619862
559,85830.38970153235
560,85794.06471607485
561,85076.03146373846
562,86562.19331159748
563,86446.61931843753
564,86994.12200198369
565,86660.01309074358
566,85398.3904457832
567,85187.40720791512
568,84665.34917380264
569,85471.20806587697
570,85146.34675284244
571,85868.99126381069
572,87582.1941170534
573,88313.35667498196
574,89141.95286125255
575,88339.26330778921
576,90064.8601487767
577,89700.59252144638
578,91072.87877149132
579,91660.65552431848
580,92800.62229401877
581,93258.52273865952
582,92191.4000522908
583,92223.06244617715
584,91973.06477208054
585,90975.79456648757
586,88985.77389541338
587,88816.48519258587
588,87225.71005472874
589,86666.5044729793
590,87090.42116584141
591,86504.87628093584
592,86503.71505313614
593,86205.28602386077
594,85499.27762199084
595,84967.12332891856
596,84179.0778206784
597,80587.97169733742
598,82449.81668277862
599,82413.54906250289
600,81708.19165564678
601,83805.28779255925
602,84619.98969386709
603,84851.71400233345
604,86334.20299815714
605,85384.48291139364
606,87050.6585022068
607,87750.45225034833
608,89855.15032883621
609,89852.5625103238
610,90583.77094977864
611,90134.44562079498
612,86177.3651340894
613,87611.88356961444
614,87574.04667167453
615,86981.64508775473
616,85165.69432565248
617,84234.64225786795
618,83479.2000190696
619,82694.07792965797
620,83510.15935227205
621,80552.36180435304
622,80015.6710434156
623,80712.39121527514
624,80663.48080174992
625,80598.48201224921
626,78705.19555286545
627,78952.50080634073
628,79700.331387527
629,78914.37093162983
630,77384.14927090134
631,75634.80116998736
632,76504.71980332994
633,77008.95738795065
634,77580.42665052079
635,78118.28007411622
636,80168.84625157379
637,79879.53570080137
638,82106.94448170994
639,83063.42725337279
640,83182.9495326115
641,81202.4304428834
642,80687.22434536526
643,79049.96742286847
644,79218.5143086618
645,80850.91279257632
646,80235.24764719998
647,81330.85232395947
648,82506.09308502552
649,81389.16674391006
650,81890.16192812889
651,83260.50740378551
652,82824.67005630648
653,81429.63555684006
654,82212.25718725652
655,85166.34055637136
656,85403.4186027341
657,86314.2375578402
658,87318.70252399589
659,87873.97310506536
660,85911.38936272517
661,87263.73867145345
662,86687.0583792247
663,87526.50759764394
664,87277.85636030346
665,86802.57781586202
666,88084.78179992479
667,86608.76629768297
668,86928.21652019097
669,84771.98332442535
670,85094.53554630505
671,84131.47691443824
672,84693.46922282003
673,87447.68083293109
674,85783.19741465448
675,85850.68618888273
676,86957.88984139581
677,86394.92884214493
678,86600.58601445975
679,86254.33163983625
680,86236.77333849913
681,85171.6643141467
682,87680.27243631199
683,87586.61066567108
684,87063.85705644081
685,88207.23181378852
686,89342.62287714344
687,89720.74275988138
688,88779.57271209455
689,89010.78016179657
690,89476.30525180852
691,90145.57017038154
692,90558.97964702724
693,90956.48378959116
694,90737.07653076657
695,90674.26074083713
696,91668.10376281335
697,92083.40072849861
698,92520.67544146173
699,95605.61393768413
700,94875.78901397315
701,93812.94804920096
702,93733.66712328952
703,92600.38647843417
704,91910.11233283424
705,91349.25357614382
706,91380.0156498985
707,93349.19194596625
708,91220.32102068124
709,91366.49316034831
710,92551.15288166846
711,92740.61122341003
712,92298.3395044915
713,93559.55110688714
714,94733.91354753428
715,95044.64494159393
716,95185.34823988481
717,93810.46446049932
718,94461.45996051414
719,93643.70248549564
720,95373.11137903744
721,95180.55232129629
722,96696.75274922037
723,98307.61700910972
724,98824.06021849343
725,99803.90747966905
726,98699.47465207262
727,99054.90536404868
728,100857.98248320105
729,103669.48321990625
730,102895.3016484669
731,102826.26824190744
732,103219.0403134553
733,102964.39030016251
734,102373.13685653164
735,100338.52541622879
736,100768.62153398087
737,100067.63608159448
738,101642.90650844574
739,100950.07933633626
740,101662.31939523657
741,102235.84496964891
742,102523.18375731881
743,102816.62718983396
744,102773.50669278632
745,102370.21188853282
746,101817.79208928114
747,101868.0726758159
748,103216.1816649893
749,101685.88085563098
750,101925.823106194
751,100106.16191151895
752,101294.24171513357
753,103073.96132227192
754,104978.72749382324
755,103813.95621577806
756,102396.67768471528
757,102366.39274374789
758,102277.23627629946
759,102546.56276757202
760,102808.57528197097
761,104101.88395717554
762,104238.43333495055
763,104738.12559617491
764,106822.70708631989
765,106463.87244503683
766,106842.48005915161
767,107453.73426760403
768,107340.26673883469
769,109615.55309251617
770,109739.67448049785
771,109318.49997358352
772,109522.16234767805
773,111518.63826422079
774,111421.92285148484
775,111434.06567317703
776,112558.76715276172
777,113171.56381223275
778,111782.40326705467
779,111979.05879686934
780,111001.8744402436
781,110290.53800584243
782,111131.6226466617
783,111896.05903311136
784,113026.31457993321
785,112101.34097626712
786,112610.49778623394
787,111496.25047786492
788,110099.08137209338
789,111094.21147486292
790,112305.30670694451
791,110361.03940334372
792,108721.03398885562
793,109068.37013334253
794,106982.67490673595
795,105879.10552161155
796,104161.71484654151
797,104096.80594021664
798,104037.88042453778
799,105915.97649433702
800,105732.26844985815
801,106158.5765684685
802,107014.55511514793
803,106549.73978257334
804,106460.56281641262
805,107596.59055607714
806,108646.6399349737
807,109113.78519193045
808,108013.06010793522
809,106147.10798913505
810,105538.32293910005
811,105963.02252094248
812,107054.12091494922
813,107011.638283129
814,105853.9562055254
815,104912.24796171143
816,107060.57084060555
817,106391.71759078963
818,106000.32360739663
819,106145.49922473749
820,106211.57619170746
821,107179.00912954696
822,107173.35139969634
823,108580.3901048291
824,110825.13678951576
825,109603.36150877723
826,111320.80494919786
827,111063.32450692425
828,110308.8788526766
829,110428.01227866898
830,110849.15441275129
831,108577.41461498957
832,109398.46810998706
833,109517.14256549338
834,109764.3979676073
835,107817.38291365938
836,109708.76939768106
837,112719.15127852708
838,113746.33011113768
839,113998.27874647026
840,114468.420053829
841,113372.75478543213
842,113504.18658654278
843,114877.1508404023
844,114594.4066747076
845,114682.5937212591
846,115931.65924504065
847,114712.97424363575
848,114920.21731906685
849,115590.92056498036
850,115361.14194318661
851,116529.59571868708
852,114989.08462967857
853,114651.03698017533
854,115346.451218735
855,116780.64501584446
856,117327.47014750875
857,117742.04392747689
858,119221.15675100774
859,119376.98436345144
860,119014.89802332365
861,120261.41144037011
862,119900.56818206518
863,121016.55047301723
864,121234.48739179334
865,120383.48723379192
866,121184.78794070554
867,121213.37026470051
868,121486.96646910525
869,120582.77103232883
870,117791.93150316046
871,116622.68632511185
872,116804.56598580803
873,118845.81459715293
874,118611.8508398596
875,117683.33869313775
876,116170.77154135193
877,115688.92376761952
878,116748.93976923745
879,118761.80102814382
880,117322.2107391926
881,117345.42261152192
882,116057.7281868274
883,117564.90240046462
884,116341.08752685496
885,112739.82050820491
886,115899.50846933553
887,115334.94507051434
888,114341.96015106549
889,113347.09333722517
890,116354.65810166574
891,115363.60283729028
892,118020.14822885513
893,118976.36585221277
894,119619.4201632263
895,122040.80589749115
896,119526.88312879579
897,120112.99534261352
898,120542.09182121482
899,119586.43126431196
900,119210.91914929119
901,120444.53780093556
902,121415.71972091077
903,114310.91011928447
904,114863.49655669878
905,115417.84833639764
906,111081.67929339697
907,110684.43121247207
908,112663.98586186803
909,112186.08162855892
910,112654.54829809179
911,112902.7689943346
912,113986.74035992613
913,114855.57774264984
914,115147.98868754177
915,114957.80634388495
916,115507.25599478405
917,113888.53998151462
918,111839.71536560106
919,112871.66334065983
920,112909.3709864641
921,113263.88558287558
922,114313.22601767976
923,111239.79815990904
924,110961.30245792256
925,112285.43258860307
926,112079.65612662179
927,111098.74832755311
928,109553.36817531307
929,110278.67465913451
930,110842.46610023004
931,111468.07111269973
932,112360.32836127638
933,115533.6437097397
934,115345.03763316717
935,116226.82287602195
936,117318.27173628435
937,116906.23890897667
938,118830.0878387456
939,118903.72177913654
940,118849.8565780047
941,119187.69935704887
942,119003.5808208347
943,118032.56920342118
944,117390.13567981764
945,117978.95678858472
946,118325.05500193789
947,121081.45732828596
948,120781.48615249852
949,119110.51965495967
950,118574.71402857981
951,118442.69346352105
952,119729.87141848757
953,120426.23909340968
954,119463.67136536603
955,119463.67136536603
956,123044.25461523411
957,123270.1127983782
958,123701.96297766587
959,123884.21200071418
960,126396.83341762866
961,129234.14013510074
962,128800.1058566758
963,130853.56628522533
964,129230.11159385627
965,128188.06439224034
966,127741.26566801415
967,129122.57498560386
968,126076.35438111096
969,122864.29474195538
970,123175.64496015987
971,123390.39218695393
972,124510.8809913924
973,122882.55533276539
