,0
0,178389.65496972838
1,177639.59162257763
2,179484.50041780088
3,178441.95939014174
4,178905.70138015103
5,174870.41495687954
6,175708.05654089444
7,174933.23807568065
8,177069.22411491862
9,176105.93629330152
10,170430.9145616006
11,169530.44985878462
12,172775.67794183647
13,174828.69294402993
14,177899.7427876884
15,172718.12521119302
16,172551.13016678995
17,171188.58534434077
18,171588.25371582893
19,171773.50251030628
20,167526.21697270672
21,169277.24327522304
22,164287.39717092062
23,166041.15061343697
24,171636.45921575098
25,169172.85318935898
26,169131.09715501335
27,149965.07739037063
28,152963.2812534249
29,146834.40841702395
30,144418.78826093447
31,147587.0621379324
32,146895.12848642305
33,154139.60384224844
34,157761.84152016116
35,159012.77786559527
36,154991.91122332474
37,157626.17440167113
38,155636.77912860885
39,153438.22340627684
40,155846.16538787857
41,156264.937906418
42,152600.678369198
43,150946.52692096724
44,154587.26572487273
45,157997.0024368961
46,159792.5642666156
47,157871.73068133424
48,164197.95433720658
49,164615.526855746
50,165408.91464097094
51,165283.6428854091
52,162778.2077741725
53,164803.43448908874
54,167413.26272996017
55,167580.29173737596
56,171213.172648669
57,171108.77951903414
58,169167.06730782578
59,174773.33896747467
