,0
0,100000.0
1,99328.51000000001
2,98474.9228257164
3,98517.26280792465
4,98530.60426582169
5,97739.97496189775
6,94581.78374611284
7,93984.05748684861
8,96477.06779358079
9,94263.96421053102
10,96990.31526712465
11,94954.86484154787
12,93632.94919025393
13,94759.96548694582
14,95245.74837345094
15,94371.33917774171
16,93516.3612974927
17,95750.96257541627
18,94565.65233234376
19,95342.90495075197
20,102921.11798023195
21,106613.06791767092
22,110790.800741615
23,107817.80947620363
24,112481.32518665284
25,114851.94567279787
26,114346.73147083253
27,112675.6383412549
28,109430.60865940065
29,115143.41540470095
30,119360.01085956545
31,119729.20585330935
32,121069.9666200635
33,115570.90434482545
34,117028.25300434083
35,117766.64299182863
36,116464.7448559949
37,115298.86592838258
38,121594.61213748904
39,118893.65928852053
40,122624.4718568799
41,117922.09351551028
42,120020.67558521242
43,118679.91481845827
44,118815.93402667971
45,117125.40958164186
46,114890.80830371828
47,110615.91890247316
48,113161.42122776003
49,111140.5644198987
50,106690.79317951173
51,105252.87583545655
52,103601.21402133912
53,109372.31471302004
54,105855.24661472291
55,107332.02658969851
56,108633.92472553224
57,107506.90842884035
58,109586.0591830823
59,114405.02541721315
60,109080.84498111696
61,111665.20993732424
62,109139.13892749757
63,112209.28677020998
64,109294.58945117921
65,115959.53065402956
66,111354.30888996096
67,112578.48176395388
68,114871.37698825808
69,114793.65172641726
70,116950.52774250002
71,121886.0818693921
72,124276.13367099733
73,123848.64473087282
74,123382.2931598279
75,120078.96953159303
76,122158.12028583499
77,125850.07022327394
78,127287.98756732911
79,125655.7570686719
80,125500.30654499024
81,127501.73203739137
82,129833.48989261598
83,129269.98174427004
84,131329.70118305177
85,132456.71747974367
86,128900.78675052612
87,129056.23727420779
88,127326.85019824954
89,131815.4840695569
90,130299.84146366092
91,129542.02016071291
92,129950.07778537722
93,128861.92411960573
94,125267.1307594678
95,126258.12784793823
96,129211.68779788943
97,127443.43809101074
98,124178.9770936963
99,120992.24135822267
100,122158.12028583499
101,127210.2623054883
102,127307.41888278932
103,128473.29781040162
104,125286.56207492798
105,122080.39502399416
106,124237.27104007693
107,122818.78501148194
108,127734.90782291384
109,128453.86649494142
110,127249.12493640871
111,126899.36125812503
112,125714.05101505252
113,125267.1307594678
114,125325.42470584842
115,126296.99047885867
116,123421.15579074831
117,124509.3094565198
118,126782.7733653638
119,124742.48524204227
120,124256.70235553713
121,123732.05683811159
122,121575.18082202882
123,123770.919469032
124,121478.0242447278
125,121069.9666200635
126,118738.20876483888
127,111062.83915805788
128,112733.93228763551
129,112014.97361560793
130,114269.00620899172
131,114463.31936359376
132,113005.97070407838
133,114560.47594089479
134,111509.75941364259
135,110693.64416431398
136,110810.2320570752
137,109896.96023044558
138,110751.9381106946
139,109022.55103473635
140,107701.2215834424
141,106049.55976932497
142,102940.54929569215
143,102979.41192661256
144,104086.99690784425
145,103756.66454502077
146,100783.6732796094
147,96392.19598560304
148,97732.95675235719
149,96644.80308658571
150,97480.34965137452
151,95653.80599811525
152,98529.6406862256
153,96936.27281848878
154,97596.93754413576
155,96508.78387836427
156,94798.82811786623
157,94410.20180866212
158,94565.65233234376
159,91126.30949588747
160,89902.13662189455
161,88308.76875415773
162,82518.23674701662
163,84558.52487033815
164,84830.56328678102
165,92136.73789981812
166,97052.86071125002
167,105952.40319202394
168,97596.93754413576
169,101405.47537433596
170,101735.80773715944
171,99132.01146549196
172,96061.86362277957
173,99209.73672733278
174,95692.66862903566
175,98257.60226978273
176,97013.9980803296
177,94041.00681491823
178,95148.59179614992
179,98646.22857898683
180,97422.05570499391
181,94429.63312412232
182,96023.00099185914
183,97111.15465763063
184,94235.31996952028
185,95265.17968891114
186,95537.21810535401
187,93477.49866657228
188,94449.06443958254
189,95498.35547443361
190,94837.69074878664
191,95032.00390338869
192,96994.56676486939
193,102299.31588550539
194,101288.88748157473
195,104086.99690784425
196,102532.49167102785
197,98413.05279346438
198,96528.21519382448
199,96372.76467014283
200,97830.11332965821
201,98160.4456924817
202,95070.8665343091
203,94313.0452313611
204,93088.87235736818
205,93730.10576755495
206,93458.06735111207
207,92253.32579257936
208,91417.77922779054
209,95478.9241589734
210,94487.92707050295
211,96217.3141464612
212,94798.82811786623
213,97674.66280597658
214,95090.29784976931
215,93535.7926129529
216,94060.43813037843
217,93263.75419651002
218,92739.10867908449
219,90562.80134754152
220,87861.84849857302
221,86695.96957096072
222,87201.18377292604
223,85510.6593278882
224,86054.73616077394
225,86035.30484531373
226,86462.79378543825
227,87686.96665943117
228,89241.47189624757
229,89960.43056827516
230,88677.96374790162
231,87220.61508838624
232,86501.65641635866
233,86074.16747623414
234,82965.15700260134
235,86851.42009464235
236,85005.44512592287
237,79895.00915988894
238,79273.20706516237
239,78826.28680957765
240,77699.27051288576
241,74395.9468846509
242,73851.87005176516
243,75872.72685962648
244,74259.92767642946
245,72880.3042787549
246,72122.48297580691
247,71228.64246463747
248,71656.13140476198
249,74454.24083103151
250,74629.12267017335
251,73540.96900440186
252,72064.18902942628
253,73851.87005176516
254,73327.22453433962
255,71986.46376758546
256,67556.12384265871
257,66293.08833774539
258,65418.67914203615
259,61435.25947269411
260,59938.24658225831
261,58791.208970106214
262,60463.162099683854
263,56594.34032310304
264,55875.01165107545
265,55855.57033561525
266,54028.08668235597
267,58830.09160102663
268,63709.86178153811
269,60054.89447501955
270,61999.02602104006
271,65751.19990485965
272,68822.92774757204
273,69736.66957420167
274,66353.88068412601
275,63321.035472334
276,68959.01695579347
277,66859.35488609133
278,66353.88068412601
279,64565.27966178713
280,59899.3639513379
281,60210.424998701186
282,60521.48604606447
283,64604.16229270753
284,67267.62251075564
285,64079.246775282
286,68997.89958671389
287,67287.06382621585
288,65731.75858939944
289,68589.63196204959
290,65342.932280195324
291,68181.36433738528
292,68978.45827125368
293,68900.69300941286
294,71233.65086463747
295,71155.88560279665
296,72050.18611396609
297,72050.18611396609
298,75705.15342048464
299,79379.5620424634
300,76618.89524711427
301,79399.00335792362
302,78076.99390662965
303,78504.70284675418
304,77241.01734184084
305,77046.6041872388
306,79457.32730430421
307,81790.28515952884
308,81829.16779044925
309,81829.16779044925
310,82198.55278419315
311,80040.56676811038
312,79807.27098258791
313,77824.256805647
314,77649.28496650515
315,78038.11127570925
316,75335.76842674075
317,73061.13451789675
318,74519.23317741213
319,77279.89997276125
320,77104.9281336194
321,81440.34148124514
322,83209.5011881238
323,86086.81587623416
324,85348.04588874636
325,85114.75010322391
326,83287.26644996463
327,83540.00355094728
328,84764.80642494021
329,88264.24320777712
330,86592.29007819948
331,87661.56242851078
332,86611.73139365969
333,89936.19633735476
334,91374.85368140994
335,92696.86313270387
336,91996.9757761365
337,89255.75029624757
338,87933.74084495363
339,87331.06006568728
340,87914.29952949342
341,88030.94742225467
342,84473.18669303713
343,88342.00846961794
344,92152.50629981814
345,93144.01338828859
346,93027.36549552737
347,95515.85387443363
348,95963.00413001834
349,94368.81626228151
350,98451.49250892458
351,95826.9149217969
352,95165.91019614993
353,96487.91964744388
354,97693.28120597659
355,97032.2764803296
356,97265.57226585208
357,97751.60515235721
358,96274.06517738162
359,96701.77411750612
360,97110.04174217043
361,96896.18727210819
362,98140.4314615613
363,100104.00432304201
364,102456.40349372683
365,100823.3329950696
366,98140.4314615613
367,97207.24831947146
368,95749.14965995608
369,97673.83989051638
370,92483.00866264163
371,96896.18727210819
372,97246.13095039187
373,99170.82118095217
374,100298.41747764408
375,98237.63803886234
376,100745.56773322879
377,95340.88203529177
378,93532.8396974927
379,96021.32807639895
380,99073.61460365115
381,96701.77411750612
382,98276.52066978274
383,97285.01358131228
384,93668.92890571413
385,95749.14965995608
386,90305.58133109866
387,90286.14001563845
388,89566.81134361087
389,93688.37022117434
390,90519.43580116091
391,91919.21051429569
392,96351.83043922244
393,94252.16836952028
394,93688.37022117434
395,94368.81626228151
396,92385.8020853406
397,91491.50157417117
398,89527.92871269045
399,87389.3840120679
400,85192.51536506473
401,83909.38854469117
402,84006.59512199221
403,82081.9048914319
404,81595.87200492677
405,84453.74537757692
406,85970.16798347291
407,86358.99429267703
408,87817.09295219241
409,87467.14927390871
410,85231.39799598514
411,90849.93816398439
412,93144.01338828859
413,94952.05572608768
414,95593.61913627444
415,97285.01358131228
416,99540.20617469607
417,99229.14512733278
418,96157.41728462039
419,97090.60042671023
420,95826.9149217969
421,97071.15911125002
422,96798.98069480715
423,96060.21070731935
424,94640.99467872438
425,91316.52973502931
426,89080.77845710574
427,90752.73158668337
428,92152.50629981814
429,92074.74103797732
430,94388.25757774172
431,96604.5675402051
432,93085.68944190799
433,94602.11204780397
434,92794.0697100049
435,90286.14001563845
436,91141.55789588748
437,90305.58133109866
438,90169.49212287723
439,90752.73158668337
440,92308.03682349977
441,93435.63312019168
442,90597.20106300173
443,92424.684716261
444,90888.82079490481
445,96099.09333823976
446,96449.03701652346
447,97187.80700401125
448,98762.55355628786
449,99754.06064475833
450,100337.30010856448
451,102242.54902366459
452,100492.83063224611
453,102884.11243385135
454,102067.57718452273
455,100434.50668586549
456,101017.74614967166
457,101095.51141151247
458,100473.3893167859
459,101387.13114341555
460,102145.34244636355
461,101678.75087531863
462,102611.93401740848
463,101834.28139900028
464,99715.17801383791
465,99287.46907371341
466,99987.35643028078
467,98315.40330070315
468,94310.4923159009
469,93124.57207282839
470,91530.38420509157
471,89975.07896827518
472,88653.06951698122
473,90072.28554557619
474,89080.77845710574
475,90402.78790839968
476,88808.60004066286
477,86553.40744727908
478,87019.999018324
479,91199.88184226808
480,90091.72686103641
481,91724.79735969362
482,93338.42654289065
483,97401.66147407351
484,97440.54410499391
485,97071.15911125002
486,97032.2764803296
487,93513.3983820325
488,95243.67545799074
489,91880.32788337527
490,100162.32826942264
491,104400.53503974734
492,105936.39896110354
493,105353.15949729738
494,104769.92003349123
495,103078.5255884534
496,104944.89187263307
497,105683.66186012088
498,107802.76524528323
499,107375.05630515871
500,105897.51633018312
501,106772.37552589236
502,108774.83101829348
503,108288.79813178835
504,109280.30522025882
505,107530.58682884036
506,108152.70892356693
507,108522.09391731082
508,110096.84046958743
509,110718.96256431399
510,110330.13625510989
511,110252.37099326907
512,112040.97201560794
513,112721.4180567151
514,113090.80305045901
515,109047.00943473636
516,106519.63842490969
517,109047.00943473636
518,110777.2865106946
519,109610.8075830823
520,110291.25362418947
521,109727.45547584353
522,106791.81684135256
523,107336.17367423831
524,109844.10336860476
525,109085.89206565676
526,109494.15969032107
527,108541.53523277101
528,110563.43204063234
529,108969.24417289553
530,108269.35681632815
531,108697.06575645265
532,111049.46492713747
533,110524.54940971194
534,111107.78887351809
535,109066.45075019656
536,107569.46945976076
537,107841.64787620363
538,108872.0375955945
539,110932.81703437625
540,108794.27233375369
541,109435.83574394045
542,109066.45075019656
543,108872.0375955945
544,109085.89206565676
545,109552.48363670168
546,110349.5775705701
547,108949.80285743532
548,110466.22546333133
549,109474.71837486087
550,109688.57284492312
551,109863.54468406497
552,109571.92495216189
553,106986.22999595462
554,108677.62444099245
555,108891.47891105471
556,108716.50707191287
557,103253.49742759524
558,101464.89640525637
559,99870.70853751955
560,99831.82590659914
561,98995.84934181033
562,100726.12641776858
563,100590.03720954714
564,101231.60061973392
565,100842.7743105298
566,99287.46907371341
567,99015.29065727053
568,98373.72724708376
569,99423.55828193483
570,99034.73197273073
571,99967.91511482059
572,102164.78376182375
573,103175.73216575442
574,104245.00451606569
575,103234.05611213503
576,105489.24870551882
577,105003.2158190137
578,106733.49289497195
579,107433.38025153933
580,108872.0375955945
581,109435.83574394045
582,108133.2676081067
583,108172.15023902712
584,107861.08919166384
585,106577.96237129031
586,104167.23925422487
587,103972.82609962282
588,102087.01849998294
589,101387.13114341555
590,101912.0466608411
591,101231.60061973392
592,101231.60061973392
593,100881.65694145022
594,100045.6803766614
595,99404.11696647464
596,98412.60987800416
597,93999.43126853762
598,96176.85860008058
599,96137.97596916018
600,95243.67545799074
601,97751.60515235721
602,98704.22960990726
603,98976.40802635011
604,100706.68510230837
605,99598.53012107668
606,101542.66166709719
607,102359.1969164258
608,104925.45055717287
609,104925.45055717287
610,105780.86843742189
611,105255.95291999636
612,100395.62405494509
613,102223.10770820436
614,102184.22507728396
615,101464.89640525637
616,99112.49723457155
617,97984.90093787966
618,97110.04174217043
619,96196.29991554079
620,97148.92437309083
621,93707.81153663454
622,93066.24812644777
623,93902.2246912366
624,93843.90074485599
625,93766.13548301515
626,91180.44052680788
627,91510.94288963138
628,92444.12603172121
629,91472.06025871096
630,89586.25265907106
631,87447.7079584485
632,88458.65636237917
633,89041.89582618533
634,89702.9005518323
635,90325.02264655886
636,92696.86313270387
637,92346.91945442019
638,95146.46888068972
639,96429.59570106326
640,96585.12622474489
641,93979.98995307743
642,93299.54391197024
643,91141.55789588748
644,91355.41236594973
645,93513.3983820325
646,92755.1870790845
647,94038.31389945802
648,95438.08861259281
649,94038.31389945802
650,94679.8773096448
651,96371.27175468265
652,95807.4736063367
653,94018.87258399783
654,95068.7036188489
655,98840.3188181287
656,99170.82118095217
657,100376.1827394849
658,101717.63350623904
659,102417.52086280641
660,100065.1216921216
661,101659.30955985842
662,100959.42220329103
663,101989.81192268191
664,101678.75087531863
665,101076.07009605227
666,102689.6992792493
667,100745.56773322879
668,101192.7179888135
669,98412.60987800416
670,98820.87750266847
671,97634.95725959596
672,98373.72724708376
673,102164.78376182375
674,99773.50196021853
675,99870.70853751955
676,101445.45508979616
677,100590.03720954714
678,100920.53957237062
679,100337.30010856448
680,100317.85879310427
681,98509.8164553052
682,102592.49270194827
683,102436.96217826662
684,101484.33772071658
685,103409.02795127688
686,105314.27686637698
687,105955.84027656374
688,104497.74161704836
689,104847.68529533205
690,105528.13133643924
691,106441.87316306887
692,107025.11262687502
693,107569.46945976076
694,107297.29104331789
695,107219.52578147707
696,108522.09391731082
697,109066.45075019656
698,109688.57284492312
699,113771.24909156619
700,112818.62463401615
701,111438.29123634158
702,111341.08465904056
703,109902.42731498538
704,109008.12680381595
705,108327.68076270875
706,108366.56339362917
707,110796.7278261548
708,108249.91550086794
709,108424.8873400098
710,109941.30994590578
711,110174.60573142825
712,109649.69021400271
713,111204.99545081911
714,112604.77016395389
715,112974.15515769778
716,113149.12699683962
717,111457.73255180178
718,112235.38517020998
719,111263.31939719972
720,113460.1880442029
721,113226.89225868044
722,115132.14117378053
723,117056.83140434085
724,117678.95349906741
725,118942.63900398073
726,117503.98165992556
727,118009.45586189089
728,120711.79871085941
729,124638.94443382083
730,123530.78945258913
731,123433.5828752881
732,124055.70497001467
733,123647.43734535036
734,122733.69551872073
735,119603.64372962771
736,120225.76582435428
737,119156.49347404299
738,121411.68606742678
739,120420.17897895632
740,121508.8926447278
741,122325.42789405643
742,122714.25420326051
743,123141.96314338504
744,123083.63919700442
745,122539.28236411868
746,121742.18843025026
747,121819.95369209108
748,123841.85049995242
749,121450.56869834718
750,121858.83632301149
751,118981.52163490115
752,120731.2400263196
753,123239.16972068606
754,125883.18862327395
755,124152.9115473157
756,122053.24947761356
757,122014.36684669314
758,121878.2776384717
759,122286.54526313601
760,122675.37157234011
761,124522.2965410596
762,124716.70969566166
763,125455.47968314945
764,128702.17936500369
765,128157.82253211795
766,128702.17936500369
767,129518.7146143323
768,129382.62540611086
769,132162.73351692018
770,132318.26404060185
771,131793.3485231763
772,132046.08562415896
773,134456.80874122438
774,134340.16084846316
775,134359.60216392335
776,135720.49424613774
777,136517.58818000613
778,134767.86978858765
779,135020.60688957034
780,133698.5974382764
781,132726.53166526614
782,133873.56927741822
783,134962.28294318973
784,136595.35344184696
785,135292.78530601322
786,135973.23134712037
787,134456.80874122438
788,132415.47061790284
789,133912.45190833864
790,135662.1702997571
791,132648.7664034253
792,130082.51276267823
793,130685.1935419446
794,127049.66755088624
795,125027.77074302493
796,121917.16026939212
797,121819.95369209108
798,121722.74711479007
799,125105.53600486573
800,124813.91627296267
801,125591.56889137086
802,127010.78491996584
803,126194.24967063722
804,126038.71914695558
805,128138.38121665773
806,130063.07144721806
807,130937.93064292725
808,128954.91646598635
809,125883.18862327395
810,124813.91627296267
811,125513.80362953006
812,127457.93517555056
813,127399.61122916995
814,125552.68626045046
815,124172.3528627759
816,127321.84596732912
817,126272.01493247805
818,125630.45152229129
819,125883.18862327395
820,126019.27783149538
821,128041.17463935672
822,128041.17463935672
823,130840.72406562624
824,134962.28294318973
825,132784.85561164675
826,135603.8463533765
827,135156.69609779178
828,133931.89322379886
829,134145.7476938611
830,134826.19373496828
831,131365.63958305176
832,132551.5598261243
833,132745.97298072634
834,133173.68192085085
835,130121.39539359866
836,133368.0950754529
837,138111.77604774295
838,139880.9357546216
839,140366.96864112673
840,141183.50389045535
841,139142.1657671338
842,139394.90286811648
843,142311.10018714724
844,141786.18466972173
845,141961.15650886355
846,144488.52751869019
847,142058.36308616455
848,142466.63071082887
849,143671.9922693616
850,143283.1659601575
851,145227.297506178
852,142661.04386543093
853,142058.36308616455
854,143244.2833292371
855,145810.53696998415
856,146899.25063575566
857,147657.46193870364
858,150437.57004951296
859,150729.18978141603
860,150048.74374030888
861,152653.88001197635
862,151895.66870902834
863,154111.97867149173
864,154539.68761161622
865,153042.70632118045
866,154384.15708793458
867,154442.4810343152
868,154967.39655174073
869,153353.76736854372
870,148629.5277117139
871,146471.54169563114
872,146860.36800483524
873,151370.7531916028
874,150884.72030509767
875,149135.0019136792
876,146529.86564201175
877,145732.77170814332
878,147482.49009956178
879,150554.21794227418
880,148415.67324165165
881,148454.55587257203
882,146646.513534773
883,148843.38218177616
884,147035.33984397707
885,141280.71046775638
886,145966.0674936658
887,145168.9735597974
888,143691.4335848218
889,142233.3349253064
890,146452.10038017092
891,144974.5604051953
892,148687.8516580945
893,149951.53716300783
894,150768.07241233645
895,153820.35893958865
896,150651.4245195752
897,151409.6358225232
898,151953.99265540895
899,150748.63109687626
900,150262.59821037113
901,151992.8752863294
902,153314.8847376233
903,144196.90778678714
904,144896.7951433545
905,145655.00644630252
906,139725.40523093997
907,139200.48971351443
908,142038.9217707044
909,141339.034414137
910,142058.36308616455
911,142427.7480799085
912,144158.02515586672
913,145499.47592262088
914,145927.1848627454
915,145655.00644630252
916,146490.98301109133
917,144235.79041770753
918,141183.50389045535
919,142680.48518089115
920,142738.80912727176
921,143224.84201377688
922,144760.70593513307
923,140425.29258750734
924,140036.46627830324
925,141844.5086161023
926,141591.77151511965
927,140289.2033792859
928,138345.0718332654
929,139317.13760627565
930,140036.46627830324
931,140833.56021217164
932,142058.36308616455
933,146199.36327918826
934,145946.62617820557
935,147268.63562949953
936,148843.38218177616
937,148279.5840334302
938,151040.2508287793
939,151156.89872154055
940,151079.13345969972
941,151662.3729235059
942,151370.7531916028
943,149932.09584754764
944,148979.47138999758
945,149893.21321662722
946,150398.68741859254
947,154559.12892707644
948,154150.86130241214
949,151681.8142389661
950,150904.1616205579
951,150729.18978141603
952,152401.1429109937
953,153295.4434221631
954,152070.6405481702
955,152070.6405481702
956,156950.41072868166
957,157261.47177604496
958,157825.26992439092
959,158058.56570991335
960,161266.3827608472
961,165154.6458528882
962,164551.96507362186
963,167390.3971308118
964,165018.55664466677
965,163521.57535423097
966,162841.12931312382
967,164979.67401374635
968,160585.93671974
969,156231.08205665406
970,156697.673627699
971,157008.7346750623
972,158564.0399118787
973,156231.08205665406
974,153139.91289848147
975,154636.89418891727
976,154695.21813529785
977,147579.6966768628
978,147404.72483772095
979,149115.56059821902
980,151292.98792976196
981,149446.0629610425
982,148104.61219428838
983,145013.44303611576
984,141436.240991438
985,141183.50389045535
986,141358.47572959718
987,139297.69629081545
988,139978.14233192263
989,137956.2455240613
990,135856.58345435915
991,134087.4237474805
992,127049.66755088624
993,128041.17463935672
994,129538.1559297925
995,130879.60669654665
996,130840.72406562624
997,121664.42316840944
998,123939.05707725344
999,122014.36684669314
1000,114879.40407279789
1001,117717.83612998782
1002,118670.46058753786
1003,114626.66697181521
1004,116065.32431587038
1005,114840.52144187747
1006,120342.4137171155
1007,119195.3761049634
1008,119778.61556876956
1009,117251.2445589429
1010,119370.34794410525
1011,116279.17878593264
1012,117542.86429084597
1013,116998.50745796022
1014,119973.02872337161
1015,117348.45113624392
1016,114121.19276984988
1017,108872.0375955945
1018,110369.0188860303
1019,106927.906049574
1020,104575.50687888918
1021,98529.2577707654
1022,107277.84972785768
1023,104167.23925422487
1024,102650.81664832888
1025,105275.39423545657
1026,106305.78395484743
1027,107997.17839988528
1028,111632.70439094363
1029,111924.32412284671
1030,113907.33829978763
1031,119253.70005134403
1032,118942.63900398073
1033,117795.60139182865
1034,115326.5543283826
1035,117678.95349906741
1036,119175.9347895032
1037,118884.31505760012
1038,121664.42316840944
1039,122111.57342399417
1040,119584.2024141675
1041,118437.16480201541
1042,118981.52163490115
1043,119448.11320594607
1044,116551.35720237551
1045,118903.75637306031
1046,119875.82214607057
1047,119020.40426582155
1048,122286.54526313601
1049,122131.01473945437
1050,120750.68134177981
1051,121606.09922202883
1052,119914.70477699098
1053,120478.50292533693
1054,119720.29162238893
1055,121722.74711479007
1056,123647.43734535036
1057,125513.80362953006
1058,129071.56435874758
1059,129285.41882880984
1060,129227.09488242921
1061,130685.1935419446
1062,130510.22170280275
1063,130335.24986366092
1064,126213.69098609744
1065,127905.08543113529
1066,129227.09488242921
1067,128857.70988868533
1068,126369.22150977908
1069,127438.49386009036
1070,127477.37649101076
1071,128177.26384757816
1072,128488.32489494144
1073,127943.96806205569
