,0
0,96601.04078285434
1,96465.78627207497
2,96120.13585563877
3,96916.63464133957
4,96225.33380846717
5,96751.32357260921
6,97397.53956855513
7,98043.75556450107
8,98629.85844454505
9,98073.81212245204
10,98599.80188659407
11,99486.47034614779
12,100418.22364262799
13,100418.22364262799
14,100207.82773697117
15,99246.01788254
16,99711.8945307801
17,103258.56836899498
18,103033.34568772174
19,102970.8922407327
20,99297.44623608302
21,98660.42061443607
22,98353.58077618781
23,97087.94764716217
24,97431.61619547408
25,97144.47945686859
26,97748.97785393281
27,98776.62512894195
28,98580.16314989609
29,96403.96892046493
30,93517.48907448334
31,92625.85393881363
32,90464.77216930909
33,87895.65398178619
34,89633.58687334579
35,88696.61435789627
36,87804.97922222657
37,85643.89745272201
38,81926.23231077714
39,81367.07129349273
40,84011.75178064864
41,83316.57862402481
42,82379.60610857529
43,80717.23551664871
44,82001.79461041016
45,85190.52365492386
46,85341.64825418992
47,86240.8387073999
48,86635.15927038208
49,86701.75240754586
50,88743.82789911232
51,88295.43254922585
52,87408.73399818673
53,85189.53306792444
54,83882.66185153954
55,82707.63557400742
56,81308.9890722725
57,80761.71817067223
58,82393.18687678613
59,81728.65840878732
