,0
0,100000.0
1,99664.255
2,99228.84000000001
3,99250.64000000001
4,99257.43100000001
5,98832.21900000001
6,97135.09100000001
7,96808.24500000002
8,98187.44500000002
9,96949.47200000002
10,98484.63600000003
11,97324.64600000004
12,96503.76100000003
13,97252.94400000003
14,97598.06900000003
15,96918.16900000002
16,96209.31400000003
17,98159.50300000003
18,97056.57700000003
19,97811.71200000003
20,105583.70130000003
21,109372.30130000004
22,113659.40130000003
23,110608.58130000002
24,115394.18130000003
25,117826.86130000003
26,117308.42130000002
27,115593.58130000002
28,112263.60130000002
29,118125.96130000002
30,122452.94130000002
31,122831.80130000004
32,124207.66130000002
33,118564.64130000003
34,120060.14130000003
35,120817.86130000003
36,119481.88130000004
37,118285.48130000003
38,124746.04130000003
39,121974.38130000004
40,125802.86130000003
41,120977.38130000004
42,123130.90130000003
43,121755.04130000003
44,121894.62130000003
45,120159.84130000003
46,117866.74130000002
47,113479.94130000002
48,116092.08130000002
49,114018.32130000003
50,109452.06130000003
51,107976.50130000002
52,106281.60130000002
53,112203.78130000003
54,108594.64130000003
55,110110.08130000002
56,111446.06130000003
57,110289.54130000003
58,112423.12130000003
59,117368.24130000002
60,111904.68130000003
61,114556.70130000003
62,111964.50130000002
63,115115.02130000002
64,112124.02130000002
65,118963.44130000002
66,114237.66130000002
67,115493.88130000004
68,117846.80130000004
69,117767.04130000003
70,119980.38130000004
71,125045.14130000003
72,127497.76130000003
73,127059.08130000002
74,126580.52130000002
75,123190.72130000003
76,125324.30130000004
77,129112.90130000003
78,130588.46130000001
79,128913.50130000003
80,128753.98130000001
81,130807.80130000002
82,133200.6013
83,132622.34130000003
84,134735.9813
85,135892.50130000003
86,132243.4813
87,132403.00130000003
88,130628.34130000004
89,135234.4813
90,133679.16130000004
91,132901.50130000003
92,133320.24130000002
93,132203.6013
94,128514.70130000003
95,129531.64130000002
96,132562.52130000002
97,130747.98130000001
98,127398.06130000003
99,124127.90130000003
100,125324.30130000004
101,130508.70130000003
102,130608.40130000003
103,131804.80130000002
104,128534.64130000002
105,125244.54130000003
106,127457.88130000004
107,126002.26130000003
108,131047.08130000002
109,131784.86130000005
110,130548.58130000002
111,130189.66130000004
112,128973.32130000004
113,128514.70130000003
114,128574.52130000004
115,129571.52130000004
116,126620.40130000003
117,127737.04130000003
118,130070.02130000004
119,127976.32130000004
120,127477.82130000003
121,126939.44130000002
122,124726.10130000002
123,126979.32130000003
124,124626.40130000003
125,124207.66130000002
126,121814.86130000003
127,113938.56130000003
128,115653.40130000003
129,114915.62130000003
130,117228.66130000002
131,117428.06130000003
132,115932.56130000003
133,117527.76130000003
134,114397.18130000003
135,113559.70130000003
136,113679.34130000003
137,112742.16130000002
138,113619.52130000002
139,111844.86130000003
140,110488.94130000002
141,108794.04130000003
142,105603.64130000003
143,105643.52130000002
144,106780.10130000002
145,106441.12130000003
146,103390.30130000004
147,98883.86130000003
148,100259.72130000003
149,99143.08130000002
150,100000.50130000002
151,98126.14130000003
152,101077.26130000003
153,99442.18130000003
154,100120.14130000003
155,99003.50130000002
156,97248.78130000003
157,96849.98130000003
158,97009.50130000002
159,93480.12130000003
160,92223.90130000003
161,90588.82130000003
162,84646.70130000003
163,86740.40130000003
164,87019.56130000003
165,94517.00130000002
166,99561.82130000003
167,108694.34130000003
168,100120.14130000003
169,104028.38130000004
170,104367.36130000003
171,101695.40130000003
172,98544.88130000004
173,101775.16130000002
174,98166.02130000002
175,100798.10130000002
176,99521.94130000002
177,96471.12130000003
178,97607.70130000003
179,101196.90130000003
180,99940.68130000003
181,96869.92130000002
182,98505.00130000002
183,99621.64130000003
184,96670.52130000002
185,97727.34130000003
186,98006.50130000002
187,95892.86130000003
188,96889.86130000003
189,97966.62130000003
190,97288.66130000002
191,97488.06130000003
192,99502.00130000002
193,104945.62130000003
194,103908.74130000002
195,106780.10130000002
196,105184.90130000003
197,100957.62130000003
198,99023.44130000002
199,98863.92130000002
200,100359.42130000002
201,100698.40130000003
202,97527.94130000002
203,96750.28130000003
204,95494.06130000003
205,96152.08130000002
206,95872.92130000002
207,94636.64130000003
208,93779.22130000003
209,97946.68130000003
210,96929.74130000002
211,98704.40130000003
212,97248.78130000003
213,100199.90130000003
214,97547.88130000004
215,95952.68130000003
216,96491.06130000003
217,95673.52130000002
218,95135.14130000003
219,92901.86130000003
220,90130.20130000003
221,88933.80130000004
222,89452.24130000002
223,87717.46130000002
224,88275.78130000003
225,88255.84130000003
226,88694.52130000002
227,89950.74130000002
228,91545.94130000002
229,92283.72130000003
230,90967.68130000003
231,89472.18130000003
232,88734.40130000003
233,88295.72130000003
234,85105.32130000003
235,89093.32130000003
236,87199.02130000002
237,81954.80130000004
238,81316.72130000003
239,80858.10130000002
240,79701.58130000002
241,76311.78130000003
242,75753.46130000002
243,77827.22130000003
244,76172.20130000003
245,74756.46130000002
246,73978.80130000004
247,73061.56130000003
248,73500.24130000002
249,76371.60130000002
250,76551.06130000003
251,75434.42130000002
252,73918.98130000003
253,75753.46130000002
254,75215.08130000002
255,73839.22130000003
256,69292.90130000003
257,67996.80130000004
258,67099.50130000002
259,63011.801300000036
260,61476.42130000003
261,60299.96130000003
262,62014.801300000036
263,58046.74130000003
264,57308.96130000003
265,57289.02130000004
266,55414.66130000003
267,60339.84130000004
268,65344.78130000004
269,61596.06130000004
270,63590.06130000004
271,67438.48130000003
272,70589.00130000002
273,71526.18130000003
274,68056.62130000003
275,64945.981300000036
276,70728.58130000002
277,68575.06130000003
278,68056.62130000003
279,66222.14130000003
280,61436.54130000003
281,61755.581300000034
282,62074.621300000035
283,66262.02130000002
284,68993.80130000004
285,65723.64130000003
286,70768.46130000002
287,69013.74130000002
288,67418.54130000003
289,70349.72130000003
290,67019.74130000002
291,69930.98130000003
292,70748.52130000002
293,70668.76130000003
294,73061.56130000003
295,72981.80130000004
296,73899.04130000003
297,73899.04130000003
298,77647.76130000003
299,81416.42130000002
300,78584.94130000002
301,81436.36130000003
302,80080.44130000002
303,80519.12130000003
304,79223.02130000002
305,79023.62130000003
306,81496.18130000003
307,83888.98130000003
308,83928.86130000003
309,83928.86130000003
310,84307.72130000003
311,82094.38130000004
312,81855.10130000002
313,79821.22130000003
314,79641.76130000003
315,80040.56130000003
316,77268.90130000003
317,74935.92130000002
318,76431.42130000002
319,79262.90130000003
320,79083.44130000002
321,83530.06130000003
322,85344.60130000002
323,88295.72130000003
324,87538.00130000002
325,87298.72130000003
326,85424.36130000003
327,85683.58130000002
328,86939.80130000004
329,90529.00130000002
330,88814.16130000002
331,89910.86130000003
332,88834.10130000002
333,92243.84130000003
334,93719.40130000003
335,95075.32130000003
336,94357.48130000003
337,91545.94130000002
338,90190.02130000002
339,89571.88130000004
340,90170.08130000002
341,90289.72130000003
342,86640.70130000003
343,90608.76130000003
344,94517.00130000002
345,95533.94130000002
346,95414.30130000004
347,97966.62130000003
348,98425.24130000002
349,96790.16130000002
350,100977.56130000003
351,98285.66130000002
352,97607.70130000003
353,98963.62130000003
354,100199.90130000003
355,99521.94130000002
356,99761.22130000003
357,100259.72130000003
358,98744.28130000003
359,99182.96130000002
360,99601.70130000003
361,99382.36130000003
362,100658.52130000002
363,102672.46130000002
364,105085.20130000003
365,103410.24130000002
366,100658.52130000002
367,99701.40130000003
368,98205.90130000003
369,100179.96130000002
370,94855.98130000003
371,99382.36130000003
372,99741.28130000003
373,101715.34130000003
374,102871.86130000003
375,100758.22130000003
376,103330.48130000003
377,97787.16130000002
378,95932.74130000002
379,98485.06130000003
380,101615.64130000003
381,99182.96130000002
382,100798.10130000002
383,99781.16130000002
384,96072.32130000003
385,98205.90130000003
386,92622.70130000003
387,92602.76130000003
388,91864.98130000003
389,96092.26130000003
390,92842.04130000003
391,94277.72130000003
392,98824.04130000003
393,96670.52130000002
394,96092.26130000003
395,96790.16130000002
396,94756.28130000003
397,93839.04130000003
398,91825.10130000002
399,89631.70130000003
400,87378.48130000003
401,86062.44130000002
402,86162.14130000003
403,84188.08130000002
404,83689.58130000002
405,86620.76130000003
406,88176.08130000002
407,88574.88130000004
408,90070.38130000004
409,89711.46130000002
410,87418.36130000003
411,93181.02130000002
412,95533.94130000002
413,97388.36130000003
414,98046.38130000004
415,99781.16130000002
416,102094.20130000003
417,101775.16130000002
418,98624.64130000003
419,99581.76130000003
420,98285.66130000002
421,99561.82130000003
422,99282.66130000002
423,98524.94130000002
424,97069.32130000003
425,93659.58130000002
426,91366.48130000003
427,93081.32130000003
428,94517.00130000002
429,94437.24130000002
430,96810.10130000002
431,99083.26130000003
432,95474.12130000003
433,97029.44130000002
434,95175.02130000002
435,92602.76130000003
436,93480.12130000003
437,92622.70130000003
438,92483.12130000003
439,93081.32130000003
