,date,value
0,2019-01-02,100000.0
1,2019-01-03,99562.96340000001
2,2019-01-04,90832.81340000001
3,2019-01-07,98716.40340000001
4,2019-01-08,107393.6434
5,2019-01-09,111838.0834
6,2019-01-10,111890.9934
7,2019-01-11,114219.03340000001
8,2019-01-14,112525.91339999999
9,2019-01-15,112155.5434
10,2019-01-16,112631.7334
11,2019-01-17,112473.00340000002
12,2019-01-18,112684.6434
13,2019-01-21,112684.6434
14,2019-01-22,110250.78340000001
15,2019-01-24,110409.5134
16,2019-01-25,110250.78340000001
17,2019-01-28,110197.87340000001
18,2019-01-29,109457.13340000002
19,2019-01-30,110568.2434
20,2019-01-31,110356.60339999999
21,2019-02-01,113531.2034
22,2019-02-11,106864.5434
23,2019-02-12,106864.5434
24,2019-02-13,106864.5434
25,2019-02-14,109668.7734
26,2019-02-15,114959.7734
27,2019-02-18,114959.7734
28,2019-02-19,116388.34340000001
29,2019-02-20,117922.7334
30,2019-02-21,115330.1434
31,2019-02-22,122949.18340000001
32,2019-02-25,120674.0534
33,2019-02-26,117711.09340000001
34,2019-02-27,116176.7034
35,2019-02-28,115647.60339999999
36,2019-03-01,119298.3934
37,2019-03-04,112473.00340000002
38,2019-03-05,113266.65340000001
39,2019-03-06,113319.56340000001
40,2019-03-07,114377.7634
41,2019-03-08,114748.13340000002
42,2019-03-11,118557.65340000001
43,2019-03-12,126864.5234
44,2019-03-13,125647.59340000001
45,2019-03-14,126017.96340000001
46,2019-03-15,124853.94340000002
47,2019-03-18,123637.0134
48,2019-03-19,125065.5834
49,2019-03-20,125171.40340000001
50,2019-03-21,124113.2034
51,2019-03-22,125594.68340000001
52,2019-03-25,125224.31340000001
53,2019-03-26,125171.40340000001
54,2019-03-27,125065.5834
55,2019-03-28,125647.59340000001
56,2019-03-29,127023.25340000002
57,2019-04-01,127181.9834
58,2019-04-02,126811.61340000003
59,2019-04-03,128240.18340000001
60,2019-04-04,127658.1734
61,2019-04-08,126652.88340000002
62,2019-04-09,125859.2334
63,2019-04-10,127393.62340000001
64,2019-04-11,125541.7734
65,2019-04-12,127763.9934
66,2019-04-15,126970.34340000001
67,2019-04-16,128081.4534
68,2019-04-17,129827.4834
69,2019-04-18,130462.40340000001
70,2019-04-19,130726.9534
71,2019-04-22,131203.1434
72,2019-04-23,130991.50340000002
73,2019-04-24,131150.2334
74,2019-04-25,131044.41339999999
75,2019-04-26,131097.32340000002
76,2019-04-29,128716.37340000001
77,2019-04-30,127922.72340000002
78,2019-05-06,119245.4834
79,2019-05-07,121626.43340000001
80,2019-05-08,126599.97340000002
81,2019-05-09,127393.62340000001
82,2019-05-10,128187.2734
83,2019-05-13,128769.28340000001
84,2019-05-14,129880.3934
85,2019-05-15,130462.40340000001
86,2019-05-16,130779.86340000003
87,2019-05-17,132049.7034
88,2019-05-20,134483.5634
89,2019-05-21,132420.07340000002
90,2019-05-22,133054.9934
91,2019-05-23,133054.9934
92,2019-05-24,128980.9234
93,2019-05-27,135065.57340000002
94,2019-05-28,131203.1434
95,2019-05-29,132049.7034
96,2019-05-30,134113.19340000002
97,2019-05-31,134536.47340000002
98,2019-06-03,134906.8434
99,2019-06-04,132843.3534
100,2019-06-05,133107.9034
101,2019-06-06,133319.5434
102,2019-06-10,134007.3734
103,2019-06-11,133054.9934
104,2019-06-12,134166.1034
105,2019-06-13,133372.4534
106,2019-06-14,133531.1834
107,2019-06-15,135065.57340000002
108,2019-06-16,134219.0134
109,2019-06-17,134906.8434
110,2019-06-18,135753.4034
111,2019-06-19,136335.4134
112,2019-06-20,135277.2134
113,2019-06-21,131626.4234
114,2019-06-24,128610.5534
115,2019-06-25,132843.3534
116,2019-06-26,131573.5134
117,2019-06-27,131097.32340000002
118,2019-06-28,137234.88340000002
119,2019-07-01,134853.9334
120,2019-07-02,134906.8434
121,2019-07-03,132314.25340000002
122,2019-07-04,136123.7734
123,2019-07-05,136123.7734
124,2019-07-08,137287.7934
125,2019-07-09,131838.0634
126,2019-07-10,130568.22340000002
127,2019-07-11,132949.1734
128,2019-07-12,132314.25340000002
129,2019-07-15,132314.25340000002
130,2019-07-16,132314.25340000002
131,2019-07-17,133637.00340000002
132,2019-07-18,133848.6434
133,2019-07-19,136811.6034
134,2019-07-22,134007.3734
135,2019-07-23,133689.9134
136,2019-07-24,133848.6434
137,2019-07-25,134430.6534
138,2019-07-26,134377.7434
139,2019-07-29,133742.82340000002
140,2019-07-30,134377.7434
141,2019-07-31,133901.5534
142,2019-08-01,133901.5534
143,2019-08-02,134113.19340000002
144,2019-08-05,134166.1034
145,2019-08-06,134166.1034
146,2019-08-07,133901.5534
147,2019-08-08,134324.8334
148,2019-08-09,134113.19340000002
149,2019-08-12,134219.0134
150,2019-08-13,134483.5634
151,2019-08-14,135594.6734
152,2019-08-15,137869.8034
153,2019-08-16,134589.38340000002
154,2019-08-19,134166.1034
155,2019-08-20,139033.82340000002
156,2019-08-21,140303.6634
157,2019-08-22,134377.7434
158,2019-08-23,137658.1634
159,2019-08-26,134007.3734
160,2019-08-27,142155.5134
161,2019-08-28,140303.6634
162,2019-08-29,143901.5434
163,2019-08-30,146123.7634
164,2019-09-02,150197.8334
165,2019-09-03,148187.25340000002
166,2019-09-04,147711.0634
167,2019-09-05,148345.9834
168,2019-09-06,149510.00340000002
169,2019-09-09,145012.6534
170,2019-09-10,149880.3734
171,2019-09-11,149880.3734
172,2019-09-12,149668.7334
173,2019-09-16,146547.0434
174,2019-09-17,140462.3934
175,2019-09-18,145806.3034
176,2019-09-19,145012.6534
177,2019-09-20,142525.88340000002
178,2019-09-23,146970.3234
179,2019-09-24,145753.3934
180,2019-09-25,149457.09339999998
181,2019-09-26,149298.3634
182,2019-09-27,149668.7334
183,2019-09-30,141785.1434
184,2019-10-08,150092.0134
185,2019-10-09,152790.4234
186,2019-10-10,144430.6434
187,2019-10-11,147711.0634
188,2019-10-14,148187.25340000002
189,2019-10-15,147287.7834
190,2019-10-16,146705.7734
191,2019-10-17,150092.0134
192,2019-10-18,150938.5734
193,2019-10-21,150938.5734
194,2019-10-22,150515.2934
195,2019-10-23,152208.4134
196,2019-10-24,150726.9334
197,2019-10-25,152155.50340000002
198,2019-10-28,153478.25340000002
199,2019-10-29,150250.7434
200,2019-10-30,149827.4634
201,2019-10-31,150303.6534
202,2019-11-01,149774.5534
203,2019-11-04,151626.4034
204,2019-11-05,152790.4234
205,2019-11-06,150356.5634
206,2019-11-07,153425.34339999998
207,2019-11-08,154324.8134
208,2019-11-11,153689.8934
209,2019-11-12,153213.7034
210,2019-11-13,154483.5434
211,2019-11-14,151150.2134
212,2019-11-15,155118.4634
