,date,value
0,2019-01-02,100000.0
1,2019-01-03,99572.9728
2,2019-01-04,101139.5128
3,2019-01-07,98238.5128
4,2019-01-08,98557.6228
5,2019-01-09,97890.3928
6,2019-01-10,100414.2628
7,2019-01-11,104417.6428
8,2019-01-14,99311.8828
9,2019-01-15,99166.8328
10,2019-01-16,107057.5528
11,2019-01-17,104214.5728
12,2019-01-18,99166.8328
13,2019-01-21,99166.8328
14,2019-01-22,98238.5128
15,2019-01-23,103344.27279999999
16,2019-01-24,96875.04280000001
17,2019-01-25,102183.8728
18,2019-01-28,99718.02279999999
19,2019-01-29,97281.1828
20,2019-01-30,98267.52279999999
21,2019-01-31,100037.1328
22,2019-02-01,98847.7228
23,2019-02-11,104069.52279999999
24,2019-02-12,97716.3328
25,2019-02-13,97716.3328
26,2019-02-14,96846.0328
27,2019-02-15,98209.5028
28,2019-02-18,97542.27279999999
29,2019-02-19,97455.2428
30,2019-02-20,105462.0028
31,2019-02-21,96555.9328
32,2019-02-22,97281.1828
33,2019-02-25,96671.9728
34,2019-02-26,95511.5728
35,2019-02-27,97803.3628
36,2019-02-28,97977.4228
37,2019-03-01,96846.0328
38,2019-03-04,96149.79280000001
39,2019-03-05,100907.4328
40,2019-03-06,97600.29280000001
41,2019-03-07,97687.3228
42,2019-03-08,99195.8428
43,2019-03-11,96991.0828
44,2019-03-12,97919.40280000001
45,2019-03-13,94844.3428
46,2019-03-14,97687.3228
47,2019-03-15,96846.0328
48,2019-03-18,96933.0628
49,2019-03-19,96904.0528
50,2019-03-20,97165.1428
51,2019-03-21,97136.1328
52,2019-03-22,97426.2328
53,2019-03-25,96526.9228
54,2019-03-26,96700.9828
55,2019-03-27,97020.0928
56,2019-03-28,96729.9928
57,2019-03-29,96236.8228
58,2019-04-01,98267.52279999999
59,2019-04-02,96991.0828
60,2019-04-03,96875.04280000001
61,2019-04-04,97252.1728
62,2019-04-08,95598.60280000001
63,2019-04-09,94264.1428
64,2019-04-10,94061.0728
