,date,value
0,2019-01-02,100000.0
1,2019-01-03,99549.2736
2,2019-01-04,100743.7598
3,2019-01-07,100743.7598
4,2019-01-08,100743.7598
5,2019-01-09,100743.7598
6,2019-01-10,100743.7598
7,2019-01-11,100243.04435
8,2019-01-14,94577.60435000001
9,2019-01-15,93945.07085
10,2019-01-16,93945.07085
11,2019-01-17,93512.52845
12,2019-01-18,88663.14845000001
13,2019-01-21,88254.85295000001
14,2019-01-22,88254.85295000001
15,2019-01-23,88254.85295000001
16,2019-01-24,87866.11910000001
17,2019-01-25,92442.8432
18,2019-01-28,92016.1229
19,2019-01-29,89170.5974
20,2019-01-30,89170.5974
21,2019-01-31,89170.5974
22,2019-02-01,89170.5974
23,2019-02-11,89170.5974
24,2019-02-12,88777.0454
25,2019-02-13,88383.4934
26,2019-02-14,88383.4934
27,2019-02-15,88383.4934
28,2019-02-18,88383.4934
29,2019-02-19,88383.4934
30,2019-02-20,88383.4934
31,2019-02-21,88004.6374
32,2019-02-22,88289.4464
33,2019-02-25,88289.4464
34,2019-02-26,88289.4464
35,2019-02-27,88289.4464
36,2019-02-28,88289.4464
37,2019-03-01,88289.4464
38,2019-03-04,88289.4464
39,2019-03-05,88289.4464
40,2019-03-06,87886.0874
41,2019-03-07,87566.45765
42,2019-03-08,87566.45765
43,2019-03-11,87161.33314999999
44,2019-03-12,87659.82785
45,2019-03-13,87258.80765
46,2019-03-14,89669.97585
47,2019-03-15,89669.97585
48,2019-03-18,89669.97585
49,2019-03-19,89669.97585
50,2019-03-20,89669.97585
51,2019-03-21,89669.97585
52,2019-03-22,89669.97585
53,2019-03-25,89248.66825
54,2019-03-26,89004.55025
55,2019-03-27,89004.55025
56,2019-03-28,89004.55025
57,2019-03-29,89004.55025
58,2019-04-01,89004.55025
59,2019-04-02,88588.29125
60,2019-04-03,88055.97545
61,2019-04-04,88055.97545
62,2019-04-08,87646.15345
63,2019-04-09,85899.84745
64,2019-04-10,85899.84745
65,2019-04-11,85899.84745
66,2019-04-12,85899.84745
67,2019-04-15,85527.73585
68,2019-04-16,87610.93585000001
69,2019-04-17,87871.33585
70,2019-04-18,91725.25585
71,2019-04-19,85319.41585
72,2019-04-22,85544.27125
73,2019-04-23,85544.27125
74,2019-04-24,85146.82625000001
75,2019-04-25,83447.40625
76,2019-04-26,86658.48775
77,2019-04-29,86244.22325
78,2019-04-30,87879.11325
79,2019-05-06,94501.80325000001
80,2019-05-07,94806.61325000001
81,2019-05-08,94778.90324999999
82,2019-05-09,94806.61325000001
83,2019-05-10,97466.77325000001
84,2019-05-13,93698.21325000002
85,2019-05-14,94806.61325000001
86,2019-05-15,102703.96325000002
87,2019-05-16,102648.54325
88,2019-05-17,99461.89325000001
89,2019-05-20,101623.27325000001
90,2019-05-21,102122.05325000001
91,2019-05-22,102343.73325
92,2019-05-23,105752.06324999999
93,2019-05-24,105585.80325000001
94,2019-05-27,110518.18324999999
95,2019-05-28,116669.80325000001
96,2019-05-29,127809.22325
97,2019-05-30,133351.22325
98,2019-05-31,146347.21325000003
99,2019-06-03,148674.85325000001
100,2019-06-04,152609.67325000002
101,2019-06-05,143936.44325
102,2019-06-06,129887.47325
103,2019-06-10,117251.71325000002
104,2019-06-11,105862.90324999999
105,2019-06-12,96527.68135
106,2019-06-13,96527.68135
107,2019-06-14,96527.68135
108,2019-06-17,96527.68135
109,2019-06-18,96527.68135
110,2019-06-19,96527.68135
111,2019-06-20,96527.68135
112,2019-06-21,96527.68135
113,2019-06-24,96527.68135
114,2019-06-25,96527.68135
115,2019-06-26,96527.68135
116,2019-06-27,96527.68135
117,2019-06-28,96527.68135
118,2019-07-01,96527.68135
119,2019-07-02,96527.68135
120,2019-07-03,96055.03555
121,2019-07-04,95071.85555
122,2019-07-05,95287.67555
123,2019-07-08,93968.77554999999
124,2019-07-09,99484.17555
125,2019-07-10,99004.57555
126,2019-07-11,99388.25555
127,2019-07-12,96318.81555
128,2019-07-15,96822.39555
129,2019-07-16,96654.53555
130,2019-07-17,96079.01555
131,2019-07-18,95431.55554999999
132,2019-07-19,95743.29555
133,2019-07-22,95647.37555
134,2019-07-23,94208.57555
135,2019-07-24,94341.66455
136,2019-07-25,94341.66455
137,2019-07-26,94341.66455
138,2019-07-29,94341.66455
139,2019-07-30,94341.66455
140,2019-07-31,94341.66455
141,2019-08-01,93916.29255
142,2019-08-02,92328.64114999998
143,2019-08-05,92328.64114999998
144,2019-08-06,92328.64114999998
145,2019-08-07,92328.64114999998
146,2019-08-08,92328.64114999998
147,2019-08-09,92328.64114999998
148,2019-08-12,92328.64114999998
149,2019-08-13,92328.64114999998
150,2019-08-14,92328.64114999998
